Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,2.9406070098903418e7,2.9406070098903418e7
t1,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t2,0.0,0.0,0.0,-0.0,0.0
t3,0.0,0.0,0.0,-0.0,0.0
t4,0.0,0.0,0.0,-0.0,0.0
t5,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t6,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t7,0.0,0.0,0.0,8131.236832775208,8131.236832775208
t8,0.0,0.0,0.0,-0.0,0.0
t9,0.0,0.0,0.0,1611.3496531912315,1611.3496531912315
t10,0.0,0.0,0.0,5170.709046104153,5170.709046104153
t11,0.0,0.0,0.0,7271.795114251701,7271.795114251701
t12,0.0,0.0,0.0,8328.769922736128,8328.769922736128
t13,0.0,0.0,0.0,7912.938478718859,7912.938478718859
t14,0.0,0.0,0.0,7518.998447205139,7518.998447205139
t15,0.0,0.0,0.0,6250.972034568339,6250.972034568339
t16,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t17,0.0,0.0,0.0,1054.8314998385795,1054.8314998385795
t18,0.0,0.0,0.0,-0.0,0.0
t19,0.0,0.0,0.0,5248.166573678986,5248.166573678986
t20,0.0,0.0,0.0,-0.0,0.0
t21,0.0,0.0,0.0,-0.0,0.0
t22,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t23,0.0,0.0,0.0,1510.6692417355641,1510.6692417355641
t24,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t25,0.0,0.0,0.0,-0.0,0.0
t26,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t27,0.0,0.0,0.0,6553.426619169492,6553.426619169492
t28,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t29,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t30,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t31,0.0,0.0,0.0,-0.0,0.0
t32,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,6123.155907670915,6123.155907670915
t34,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t35,0.0,0.0,0.0,5371.549515283107,5371.549515283107
t36,0.0,0.0,0.0,6325.558592871666,6325.558592871666
t37,0.0,0.0,0.0,6426.782290275833,6426.782290275833
t38,0.0,0.0,0.0,6013.546942414039,6013.546942414039
t39,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t40,0.0,0.0,0.0,2535.65996047075,2535.65996047075
t41,0.0,0.0,0.0,7299.426248745176,7299.426248745176
t42,0.0,0.0,0.0,-0.0,0.0
t43,0.0,0.0,0.0,-0.0,0.0
t44,0.0,0.0,0.0,-0.0,0.0
t45,0.0,0.0,0.0,7058.332694385349,7058.332694385349
t46,0.0,0.0,0.0,-0.0,0.0
t47,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t48,0.0,0.0,0.0,-0.0,0.0
t49,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t50,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t51,0.0,0.0,0.0,2979.0419665472905,2979.0419665472905
t52,0.0,0.0,0.0,8676.229736606521,8676.229736606521
t53,0.0,0.0,0.0,8895.449608971785,8895.449608971785
t54,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t55,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t56,0.0,0.0,0.0,2707.393798780796,2707.393798780796
t57,0.0,0.0,0.0,2907.502757633628,2907.502757633628
t58,0.0,0.0,0.0,3504.2541108209607,3504.2541108209607
t59,0.0,0.0,0.0,5617.444215833601,5617.444215833601
t60,0.0,0.0,0.0,6419.515922891582,6419.515922891582
t61,0.0,0.0,0.0,6651.3431154330365,6651.3431154330365
t62,0.0,0.0,0.0,6289.2146041344495,6289.2146041344495
t63,0.0,0.0,0.0,5243.676311335649,5243.676311335649
t64,0.0,0.0,0.0,4917.543104607963,4917.543104607963
t65,0.0,0.0,0.0,0.0,0.0
t66,0.0,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,1385.4549689096025,1385.4549689096025
t68,0.0,0.0,0.0,-0.0,0.0
t69,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t70,0.0,0.0,0.0,1394.6498439702743,1394.6498439702743
t71,0.0,0.0,0.0,7899.3199604117035,7899.3199604117035
t72,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t73,0.0,0.0,0.0,2807.1202674372953,2807.1202674372953
t74,0.0,0.0,0.0,-0.0,0.0
t75,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t76,0.0,0.0,0.0,-0.0,0.0
t77,0.0,0.0,0.0,9079.751588348143,9079.751588348143
t78,0.0,0.0,0.0,4326.581170157523,4326.581170157523
