Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,263205.89580017247,4.396645438469499e7,0.0,4.422966028049517e7
t1,0.0,0.0,7818.861758966744,0.0,7818.861758966744
t2,0.0,0.0,26205.849619359597,0.0,26205.849619359597
t3,0.0,0.0,27467.672429791477,0.0,27467.672429791477
t4,0.0,0.0,27433.813765358984,0.0,27433.813765358984
t5,0.0,0.0,4960.265395890694,0.0,4960.265395890694
t6,0.0,0.0,801.9862399433002,0.0,801.9862399433002
t7,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,17504.666413270974,0.0,17504.666413270974
t9,0.0,0.0,13354.094011128524,0.0,13354.094011128524
t10,0.0,0.0,235.6193247783,0.0,235.6193247783
t11,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,243.2142477733724,0.0,243.2142477733724
t15,0.0,0.0,2941.3514610104417,0.0,2941.3514610104417
t16,0.0,0.0,3516.727366411779,0.0,3516.727366411779
t17,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,12423.966273906437,0.0,12423.966273906437
t19,0.0,0.0,13965.914250777261,0.0,13965.914250777261
t20,0.0,0.0,24190.50238931009,0.0,24190.50238931009
t21,0.0,0.0,25654.415652124328,0.0,25654.415652124328
t22,0.0,0.0,7454.2779961993765,0.0,7454.2779961993765
t23,0.0,0.0,20974.540714559524,0.0,20974.540714559524
t24,0.0,0.0,1037.5623631382105,0.0,1037.5623631382105
t25,0.0,0.0,15689.916388663307,0.0,15689.916388663307
t26,0.0,0.0,1852.7732278297756,0.0,1852.7732278297756
t27,0.0,0.0,6777.073557554479,0.0,6777.073557554479
t28,0.0,0.0,10565.265717353626,0.0,10565.265717353626
t29,0.0,0.0,8560.367838895721,0.0,8560.367838895721
t30,0.0,0.0,7008.463636985546,0.0,7008.463636985546
t31,0.0,0.0,16885.261419683706,0.0,16885.261419683706
t32,0.0,0.0,13077.596317882337,0.0,13077.596317882337
t33,0.0,0.0,7469.39197065485,0.0,7469.39197065485
t34,0.0,0.0,11874.6255026693,0.0,11874.6255026693
t35,0.0,0.0,29309.853191715385,0.0,29309.853191715385
t36,0.0,0.0,31111.326178448653,0.0,31111.326178448653
t37,0.0,0.0,31275.36269483735,0.0,31275.36269483735
t38,0.0,0.0,31085.43862171094,0.0,31085.43862171094
t39,0.0,0.0,31238.81131321239,0.0,31238.81131321239
t40,0.0,0.0,30009.657165120097,0.0,30009.657165120097
t41,0.0,0.0,12808.656978591127,0.0,12808.656978591127
t42,0.0,0.0,17851.727639984012,0.0,17851.727639984012
t43,0.0,0.0,15719.73871172702,0.0,15719.73871172702
t44,0.0,0.0,10381.466861472429,0.0,10381.466861472429
t45,0.0,0.0,5795.265297210389,0.0,5795.265297210389
t46,0.0,0.0,23940.451071026884,0.0,23940.451071026884
t47,0.0,0.0,4012.2999060581215,0.0,4012.2999060581215
t48,0.0,0.0,22537.025382096,0.0,22537.025382096
t49,0.0,0.0,6313.991592935516,0.0,6313.991592935516
t50,0.0,0.0,1009.7917930888763,0.0,1009.7917930888763
t51,0.0,0.0,7926.040703386965,0.0,7926.040703386965
t52,0.0,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0,0.0
t54,0.0,0.0,922.7160629778268,0.0,922.7160629778268
t55,0.0,0.0,3072.7196100811016,0.0,3072.7196100811016
t56,0.0,0.0,0.0,0.0,0.0
t57,0.0,0.0,8005.978202135603,0.0,8005.978202135603
t58,0.0,0.0,28003.24570964908,0.0,28003.24570964908
t59,0.0,0.0,30045.90837357027,0.0,30045.90837357027
t60,0.0,0.0,30792.787768324342,0.0,30792.787768324342
t61,0.0,0.0,31475.88916843904,0.0,31475.88916843904
t62,0.0,0.0,30862.55873537622,0.0,30862.55873537622
t63,0.0,0.0,31297.72361380624,0.0,31297.72361380624
t64,0.0,0.0,26271.414272035385,0.0,26271.414272035385
t65,0.0,0.0,23269.285909294395,0.0,23269.285909294395
t66,0.0,0.0,19366.387655705574,0.0,19366.387655705574
t67,0.0,0.0,19435.778962943423,0.0,19435.778962943423
t68,0.0,0.0,17252.912015014794,0.0,17252.912015014794
t69,0.0,0.0,4039.692098987597,0.0,4039.692098987597
t70,0.0,0.0,20254.77513360338,0.0,20254.77513360338
t71,0.0,0.0,9481.00145000969,0.0,9481.00145000969
t72,0.0,0.0,8069.5344708627135,0.0,8069.5344708627135
t73,0.0,0.0,21986.42575814771,0.0,21986.42575814771
t74,0.0,0.0,27776.74948216726,0.0,27776.74948216726
t75,0.0,0.0,7285.177379005965,0.0,7285.177379005965
t76,0.0,0.0,25030.590779522674,0.0,25030.590779522674
t77,0.0,0.0,6549.649325663402,0.0,6549.649325663402
t78,0.0,0.0,11382.38510915725,0.0,11382.38510915725
t79,0.0,0.0,11991.93949754611,0.0,11991.93949754611
t80,0.0,0.0,0.0,0.0,0.0
t81,0.0,0.0,116.92899729319706,0.0,116.92899729319706
t82,0.0,0.0,8788.107963542285,0.0,8788.107963542285
t83,0.0,0.0,18213.936473434336,0.0,18213.936473434336
t84,0.0,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,0.0,0.0
t109,0.0,0.0,0.0,0.0,0.0
t110,0.0,0.0,2026.0901542112606,0.0,2026.0901542112606
t111,0.0,0.0,684.4949672453744,0.0,684.4949672453744
t112,0.0,0.0,18340.590868106076,0.0,18340.590868106076
t113,0.0,0.0,9967.654672552904,0.0,9967.654672552904
t114,0.0,0.0,10742.093183124438,0.0,10742.093183124438
t115,0.0,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0,0.0
t130,0.0,0.0,1123.286031871217,0.0,1123.286031871217
t131,0.0,0.0,0.0,0.0,0.0
t132,0.0,0.0,7751.479586663436,0.0,7751.479586663436
t133,0.0,0.0,991.7193952531544,0.0,991.7193952531544
t134,0.0,0.0,0.0,0.0,0.0
t135,0.0,0.0,0.0,0.0,0.0
t136,0.0,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,0.0,0.0
t145,0.0,0.0,0.0,0.0,0.0
t146,0.0,0.0,0.0,0.0,0.0
t147,0.0,0.0,0.0,0.0,0.0
t148,0.0,0.0,0.0,0.0,0.0
t149,0.0,0.0,0.0,0.0,0.0
t150,0.0,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,0.0,0.0
t155,0.0,0.0,10464.405267310673,0.0,10464.405267310673
t156,0.0,0.0,6817.876669124562,0.0,6817.876669124562
t157,0.0,0.0,6930.996274492925,0.0,6930.996274492925
t158,0.0,0.0,8666.535053024358,0.0,8666.535053024358
t159,0.0,0.0,11259.087589056377,0.0,11259.087589056377
t160,0.0,0.0,12792.302749732069,0.0,12792.302749732069
t161,0.0,0.0,8028.049403778873,0.0,8028.049403778873
t162,0.0,0.0,7952.161604629921,0.0,7952.161604629921
t163,0.0,0.0,5390.789542626802,0.0,5390.789542626802
t164,0.0,0.0,4832.969023374293,0.0,4832.969023374293
t165,0.0,0.0,7046.136494616274,0.0,7046.136494616274
t166,0.0,0.0,23755.790568516524,0.0,23755.790568516524
t167,0.0,0.0,25623.588697072064,0.0,25623.588697072064
t168,0.0,0.0,10377.02198750993,0.0,10377.02198750993
t169,0.0,0.0,11034.546851764017,0.0,11034.546851764017
t170,0.0,0.0,11378.05459686022,0.0,11378.05459686022
t171,0.0,0.0,28142.88853182094,0.0,28142.88853182094
t172,0.0,0.0,11485.05459686022,0.0,11485.05459686022
t173,0.0,0.0,19661.471564340576,0.0,19661.471564340576
t174,0.0,0.0,29078.299400227555,0.0,29078.299400227555
t175,0.0,0.0,27987.46413292281,0.0,27987.46413292281
t176,0.0,0.0,28552.86609907616,0.0,28552.86609907616
t177,0.0,0.0,30284.66107634744,0.0,30284.66107634744
t178,0.0,0.0,31538.806185208363,0.0,31538.806185208363
t179,0.0,0.0,31482.425428326897,0.0,31482.425428326897
t180,0.0,0.0,31536.86806249067,0.0,31536.86806249067
t181,0.0,0.0,31538.806185208363,0.0,31538.806185208363
t182,0.0,0.0,31489.422280940275,0.0,31489.422280940275
t183,0.0,1917.1102884596855,31538.806185208363,0.0,33455.91647366805
t184,0.0,0.0,31538.806185208363,0.0,31538.806185208363
t185,0.0,0.0,31538.806185208363,0.0,31538.806185208363
t186,0.0,0.0,10154.202494953208,0.0,10154.202494953208
t187,0.0,0.0,22276.762430386218,0.0,22276.762430386218
t188,0.0,0.0,4250.314941174711,0.0,4250.314941174711
t189,0.0,0.0,24087.252231098802,0.0,24087.252231098802
t190,0.0,0.0,0.0,0.0,0.0
t191,0.0,0.0,6344.709015806261,0.0,6344.709015806261
t192,0.0,0.0,0.0,0.0,0.0
t193,0.0,0.0,1196.3038767849223,0.0,1196.3038767849223
t194,0.0,0.0,9673.188183162094,0.0,9673.188183162094
t195,0.0,0.0,14143.230208137762,0.0,14143.230208137762
t196,0.0,0.0,4161.747386871266,0.0,4161.747386871266
t197,0.0,0.0,22735.923728498874,0.0,22735.923728498874
t198,0.0,0.0,7007.979820883086,0.0,7007.979820883086
t199,0.0,0.0,5009.374563350505,0.0,5009.374563350505
t200,0.0,0.0,16612.787671258397,0.0,16612.787671258397
t201,0.0,0.0,11733.640382708036,0.0,11733.640382708036
t202,0.0,0.0,23920.049189532925,0.0,23920.049189532925
t203,0.0,0.0,28992.341212038373,0.0,28992.341212038373
t204,0.0,0.0,31154.352395549507,0.0,31154.352395549507
t205,0.0,0.0,31479.361275611973,0.0,31479.361275611973
t206,0.0,0.0,31479.959062144404,0.0,31479.959062144404
t207,0.0,0.0,31500.675106215513,0.0,31500.675106215513
t208,0.0,0.0,30882.96648761687,0.0,30882.96648761687
t209,0.0,0.0,25199.52975516708,0.0,25199.52975516708
t210,0.0,0.0,12552.805092323806,0.0,12552.805092323806
t211,0.0,0.0,20955.16494722103,0.0,20955.16494722103
t212,0.0,0.0,16730.372393253674,0.0,16730.372393253674
t213,0.0,0.0,0.0,0.0,0.0
t214,0.0,0.0,15896.444667708298,0.0,15896.444667708298
t215,0.0,0.0,0.0,0.0,0.0
t216,0.0,0.0,0.0,0.0,0.0
t217,0.0,0.0,5446.873026460974,0.0,5446.873026460974
t218,0.0,0.0,7701.253089673326,0.0,7701.253089673326
t219,0.0,0.0,24083.779423832384,0.0,24083.779423832384
t220,0.0,0.0,5158.644165028548,0.0,5158.644165028548
t221,0.0,0.0,8987.098603681794,0.0,8987.098603681794
t222,0.0,0.0,0.0,0.0,0.0
t223,0.0,0.0,984.4906843284172,0.0,984.4906843284172
t224,0.0,0.0,0.0,0.0,0.0
t225,0.0,0.0,0.0,0.0,0.0
t226,0.0,0.0,0.0,0.0,0.0
t227,0.0,0.0,0.0,0.0,0.0
t228,0.0,0.0,0.0,0.0,0.0
t229,0.0,0.0,0.0,0.0,0.0
t230,0.0,0.0,0.0,0.0,0.0
t231,0.0,0.0,0.0,0.0,0.0
t232,0.0,0.0,0.0,0.0,0.0
t233,0.0,0.0,0.0,0.0,0.0
t234,0.0,0.0,0.0,0.0,0.0
t235,0.0,0.0,0.0,0.0,0.0
t236,0.0,0.0,0.0,0.0,0.0
t237,0.0,0.0,0.0,0.0,0.0
t238,0.0,0.0,0.0,0.0,0.0
t239,0.0,0.0,0.0,0.0,0.0
t240,0.0,0.0,0.0,0.0,0.0
t241,0.0,0.0,0.0,0.0,0.0
t242,0.0,0.0,0.0,0.0,0.0
t243,0.0,0.0,0.0,0.0,0.0
t244,0.0,0.0,0.0,0.0,0.0
t245,0.0,0.0,0.0,0.0,0.0
t246,0.0,0.0,0.0,0.0,0.0
t247,0.0,0.0,0.0,0.0,0.0
t248,0.0,0.0,0.0,0.0,0.0
t249,0.0,0.0,0.0,0.0,0.0
t250,0.0,0.0,0.0,0.0,0.0
t251,0.0,0.0,0.0,0.0,0.0
t252,0.0,0.0,0.0,0.0,0.0
t253,0.0,0.0,0.0,0.0,0.0
t254,0.0,0.0,0.0,0.0,0.0
t255,0.0,0.0,0.0,0.0,0.0
