Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,1.5536027598588984e7,4.897663323210565e7,5.96231950529804e7,2.4889297731711857e7,1.490251536153869e8
t1,0.0,-0.0,20241.751588348143,-0.0,20241.751588348143
t2,0.0,-0.0,1476.2484116518558,9079.751588348143,10555.999999999998
t3,0.0,-0.0,1025.248411651857,9079.751588348143,10105.0
t4,0.0,-0.0,798.2484116518567,9079.751588348143,9878.0
t5,0.0,-0.0,18922.751588348143,-0.0,18922.751588348143
t6,0.0,-0.0,19096.751588348143,-0.0,19096.751588348143
t7,-0.0,-0.0,17572.722077202274,948.5147555729343,18521.23683277521
t8,-0.0,-0.0,1647.248411651857,9079.751588348143,10727.0
t9,0.0,5440.947718034319,0.0,7468.401935156912,12909.349653191231
t10,-0.0,13120.666503860162,0.0,3909.0425422439903,17029.70904610415
t11,0.0,17579.85805692033,79.98058323492965,1807.956474096442,19467.7951142517
t12,0.0,19830.862846393775,67.92541073033892,750.9816656120147,20649.76992273613
t13,-0.0,18986.73605034123,140.38931874834168,1166.8131096292846,20293.938478718857
t14,0.0,18228.245306062134,0.0,1560.753141143004,19788.998447205136
t15,0.0,15331.911697867365,239.28078292116874,2828.7795537798042,18399.972034568338
t16,0.0,10126.463122210023,2847.87149865776,4162.208483740181,17136.543104607965
t17,0.0,1963.512329948304,4476.399081380712,8024.920088509564,14464.83149983858
t18,0.0,-0.0,5459.248411651856,9079.751588348143,14539.0
t19,0.0,-0.0,15870.58155900983,3831.5850146691573,19702.166573678987
t20,0.0,-0.0,4932.248411651857,9079.751588348143,14012.0
t21,0.0,-0.0,4414.248411651856,9079.751588348143,13494.0
t22,0.0,-0.0,21851.751588348143,-0.0,21851.751588348143
t23,0.0,-0.0,5818.586895122988,7569.082346612577,13387.669241735564
t24,0.0,-0.0,19953.751588348143,-0.0,19953.751588348143
t25,0.0,-0.0,945.2484116518569,9079.751588348143,10025.0
t26,0.0,-0.0,18590.75158834814,-0.0,18590.75158834814
t27,0.0,-0.0,13291.10164999084,2526.3249691786514,15817.426619169491
t28,0.0,-0.0,18287.751588348143,-0.0,18287.751588348143
t29,0.0,-0.0,18489.751588348143,-0.0,18489.751588348143
t30,0.0,-0.0,19003.751588348146,-0.0,19003.751588348146
t31,0.0,-0.0,1616.2484116518563,9079.751588348143,10696.0
