BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2413585588367502e8,2.4889297731711857e7,-2.9406070098903418e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1961908351648328e8
t1,20241.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t2,1476.2484116518558,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10556.0
t3,1025.248411651857,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10105.0
t4,798.2484116518567,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9878.0
t5,18922.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-9843.0
t6,19096.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-10017.0
t7,17572.722077202274,948.5147555729343,-8131.236832775208,0.0,0.0,0.0,0.0,0.0,0.0,-10390.0
t8,1647.248411651857,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10727.0
t9,5440.947718034319,7468.401935156912,-1611.3496531912315,0.0,0.0,0.0,0.0,0.0,0.0,-11298.0
t10,13120.666503860162,3909.0425422439903,-5170.709046104153,0.0,0.0,0.0,0.0,0.0,0.0,-11859.0
t11,17659.83864015526,1807.956474096442,-7271.795114251701,0.0,0.0,0.0,0.0,0.0,0.0,-12196.0
t12,19898.788257124113,750.9816656120147,-8328.769922736128,0.0,0.0,0.0,0.0,0.0,0.0,-12321.0
t13,19127.125369089572,1166.8131096292846,-7912.938478718859,0.0,0.0,0.0,0.0,0.0,0.0,-12381.0
t14,18228.245306062134,1560.753141143004,-7518.998447205139,0.0,0.0,0.0,0.0,0.0,0.0,-12270.0
t15,15571.192480788532,2828.7795537798042,-6250.972034568339,0.0,0.0,0.0,0.0,0.0,0.0,-12149.0
t16,12974.334620867783,4162.208483740181,-4917.543104607963,0.0,0.0,0.0,0.0,0.0,0.0,-12219.0
t17,6439.911411329016,8024.920088509564,-1054.8314998385795,0.0,0.0,0.0,0.0,0.0,0.0,-13410.0
t18,5459.248411651856,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14539.0
t19,15870.58155900983,3831.5850146691573,-5248.166573678986,0.0,0.0,0.0,0.0,0.0,0.0,-14454.0
t20,4932.248411651857,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14012.0
t21,4414.248411651856,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13494.0
t22,21851.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-12772.0
t23,5818.586895122988,7569.082346612577,-1510.6692417355641,0.0,0.0,0.0,0.0,0.0,0.0,-11877.0
t24,19953.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-10874.0
t25,945.2484116518569,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10025.0
t26,18590.75158834814,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-9511.0
t27,13291.10164999084,2526.3249691786514,-6553.426619169492,0.0,0.0,0.0,0.0,0.0,0.0,-9264.0
t28,18287.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-9208.0
t29,18489.751588348143,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-9410.0
t30,19003.751588348146,0.0,-9079.751588348143,0.0,0.0,0.0,0.0,0.0,0.0,-9924.0
t31,1616.2484116518563,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10696.0
t32,2249.248411651857,9079.751588348143,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11329.0
t33,15271.560226993688,2956.5956806772274,-6123.155907670915,0.0,0.0,0.0,0.0,0.0,0.0,-12105.0
