Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1
t1,0.0,0.0,0.0,33664.785446584065
t2,0.0,0.0,0.0,23795.49024185782
t3,0.0,0.0,0.0,13926.195037131578
t4,0.0,0.0,0.0,4056.8998324053355
t5,0.0,0.0,0.0,12410.271293685628
t6,0.0,0.0,0.0,20763.64275496592
t7,0.0,0.0,0.0,27213.386341583315
t8,0.0,0.0,0.0,17344.091136857074
t9,0.0,0.0,0.0,10708.70462740506
t10,0.0,0.0,0.0,11216.797664773065
t11,0.0,0.0,0.0,15941.67908934502
t12,0.0,0.0,0.0,22787.862999118766
t13,0.0,0.0,0.0,28799.49128037785
t14,0.0,0.0,0.0,34020.499046216355
t15,0.0,0.0,0.0,36696.63293347596
t16,0.0,0.0,0.0,36696.63293347596
t17,0.0,0.0,0.0,28944.338686686624
t18,0.0,0.0,0.0,19075.043481960383
t19,0.0,0.0,0.0,19738.59040945249
t20,0.0,0.0,0.0,9869.295204726242
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,8353.371461280292
t23,0.0,0.0,0.0,1515.923743445951
t24,0.0,0.0,0.0,9869.295204726242
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,8353.371461280292
t27,0.0,0.0,0.0,11636.518549635084
t28,0.0,0.0,0.0,19989.890010915376
t29,0.0,0.0,0.0,28343.26147219567
t30,0.0,0.0,0.0,36696.63293347596
t31,0.0,0.0,0.0,26827.337728749717
t32,0.0,0.0,0.0,16958.042524023476
t33,0.0,0.0,0.0,19377.655001822863
t34,0.0,0.0,0.0,27731.026463103157
t35,0.0,0.0,0.0,28642.19758991901
t36,0.0,0.0,0.0,31468.023456799558
t37,0.0,0.0,0.0,34497.00088333994
t38,0.0,0.0,0.0,36696.63293347596
t39,0.0,0.0,0.0,36696.63293347596
t40,0.0,0.0,0.0,31916.297023329276
t41,0.0,0.0,0.0,36696.63293347596
t42,0.0,0.0,0.0,26827.337728749717
t43,0.0,0.0,0.0,16958.042524023476
t44,0.0,0.0,0.0,7088.747319297234
t45,0.0,0.0,0.0,11385.218948172196
t46,0.0,0.0,0.0,1515.9237434459544
t47,0.0,0.0,0.0,9869.295204726242
t48,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,8353.371461280292
t50,0.0,0.0,0.0,16706.742922560585
t51,0.0,0.0,0.0,12816.255421130993
t52,0.0,0.0,0.0,20359.776070394186
t53,0.0,0.0,0.0,28343.261472195663
t54,0.0,0.0,0.0,36696.63293347596
t55,0.0,0.0,0.0,36696.63293347596
t56,0.0,0.0,0.0,32260.959370128916
t57,0.0,0.0,0.0,28226.89578680999
t58,0.0,0.0,0.0,25390.48622362703
t59,0.0,0.0,0.0,26795.157323373794
t60,0.0,0.0,0.0,29809.551466503002
t61,0.0,0.0,0.0,33289.212705619764
t62,0.0,0.0,0.0,36042.09776727814
t63,0.0,0.0,0.0,36696.63293347596
t64,0.0,0.0,0.0,36696.63293347596
t65,0.0,0.0,0.0,26827.337728749717
t66,0.0,0.0,0.0,16958.042524023476
t67,0.0,0.0,0.0,9869.295204726242
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,8353.371461280292
t70,0.0,0.0,0.0,1283.0778564526527
t71,0.0,0.0,0.0,7267.374363578767
t72,0.0,0.0,0.0,15620.745824859061
t73,0.0,0.0,0.0,11385.21894817219
t74,0.0,0.0,0.0,1515.9237434459492
t75,0.0,0.0,0.0,9869.295204726242
t76,0.0,0.0,0.0,-0.0
t77,0.0,0.0,0.0,8353.371461280292
t78,0.0,0.0,0.0,7167.336552835409
t79,0.0,0.0,0.0,2286.9378029604004
t80,0.0,0.0,0.0,6417.707304854609
t81,0.0,0.0,0.0,14771.078766134902
t82,0.0,0.0,0.0,21153.651742636583
t83,0.0,0.0,0.0,22148.03417686652
t84,0.0,0.0,0.0,28327.523667152698
t85,0.0,0.0,0.0,33111.243720029044
t86,0.0,0.0,0.0,36696.63293347596
t87,0.0,0.0,0.0,36696.63293347596
t88,0.0,0.0,0.0,35760.70893091925
t89,0.0,0.0,0.0,26050.320923574844
t90,0.0,0.0,0.0,16181.025718848601
t91,0.0,0.0,0.0,12158.998778185009
t92,0.0,0.0,0.0,10356.32679470466
t93,0.0,0.0,0.0,10356.32679470466
t94,0.0,0.0,0.0,10356.32679470466
t95,0.0,0.0,0.0,10826.061556696286
