Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.761570481307684e-13,0.0,0.0,0.0,6.761570481307684e-13
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7939069402012082e-15,0.0,0.0,0.0,1.7939069402012082e-15
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7482659873662745e-15,0.0,0.0,0.0,1.7482659873662745e-15
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.70743252412404e-15,0.0,0.0,0.0,1.70743252412404e-15
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.666447236940794e-15,0.0,0.0,0.0,1.666447236940794e-15
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.627384928185384e-15,0.0,0.0,0.0,1.627384928185384e-15
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5898943502151929e-15,0.0,0.0,0.0,1.5898943502151929e-15
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5551589942299203e-15,0.0,0.0,0.0,1.5551589942299203e-15
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5237637498407529e-15,0.0,0.0,0.0,1.5237637498407529e-15
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.491392495501663e-15,0.0,0.0,0.0,1.491392495501663e-15
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4608125675724775e-15,0.0,0.0,0.0,1.4608125675724775e-15
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43320843447147e-15,0.0,0.0,0.0,1.43320843447147e-15
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4046727599325464e-15,0.0,0.0,0.0,1.4046727599325464e-15
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3775886675946777e-15,0.0,0.0,0.0,1.3775886675946777e-15
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3530943119088368e-15,0.0,0.0,0.0,1.3530943119088368e-15
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.327471468910471e-15,0.0,0.0,0.0,1.327471468910471e-15
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3033418357567575e-15,0.0,0.0,0.0,1.3033418357567575e-15
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2816086614969355e-15,0.0,0.0,0.0,1.2816086614969355e-15
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2590485449133634e-15,0.0,0.0,0.0,1.2590485449133634e-15
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.237312575745961e-15,0.0,0.0,0.0,1.237312575745961e-15
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2178249156484039e-15,0.0,0.0,0.0,1.2178249156484039e-15
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.197283575765594e-15,0.0,0.0,0.0,1.197283575765594e-15
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1773350607728924e-15,0.0,0.0,0.0,1.1773350607728924e-15
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1595369263533781e-15,0.0,0.0,0.0,1.1595369263533781e-15
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1408060010658856e-15,0.0,0.0,0.0,1.1408060010658856e-15
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1226711686096953e-15,0.0,0.0,0.0,1.1226711686096953e-15
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.106465078396044e-15,0.0,0.0,0.0,1.106465078396044e-15
