BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.1730404128336838e7,74625.61279131296,-89669.74112815801,0.0,0.0,0.0,1.3845343045774984e-16,0.0,0.0,-1.171536e7
t1,26105.659903911044,3.673118098379694e-15,-215.6599039110455,0.0,0.0,0.0,4.083578513912278e-19,0.0,0.0,-25890.0
t2,24421.245558576196,3.673649767684437e-15,-236.24555857619828,0.0,0.0,0.0,4.08357853562173e-19,0.0,0.0,-24185.0
t3,23883.664504320805,3.6738125406989654e-15,-250.66450432080262,0.0,0.0,0.0,4.0835785343595525e-19,0.0,0.0,-23633.0
t4,23634.97743922955,3.674057311920821e-15,-265.9774392295518,0.0,0.0,0.0,4.083578542942359e-19,0.0,0.0,-23369.0
t5,23813.484762325817,3.67470672232075e-15,-260.4847623258142,0.0,0.0,0.0,4.0835785283011007e-19,0.0,0.0,-23553.0
t6,24793.7976288809,3.679055025409086e-15,-190.79762888089596,0.0,0.0,0.0,4.083578542942359e-19,0.0,0.0,-24603.0
t7,26320.856265717837,3.6799513708319555e-15,-203.85626571784076,0.0,0.0,0.0,4.0835785530397787e-19,0.0,0.0,-26117.0
t8,27991.21624087112,3.679811073038453e-15,-230.21624087111763,0.0,0.0,0.0,4.0835785654091177e-19,0.0,0.0,-27761.0
t9,29484.199852733524,3.679575053490876e-15,-253.19985273352088,0.0,0.0,0.0,4.0835785555641336e-19,0.0,0.0,-29231.0
t10,31270.605727208458,3.679904017637019e-15,-257.60572720846386,0.0,0.0,0.0,4.0835785545543917e-19,0.0,0.0,-31013.0
t11,32168.966092018447,3.684457622093705e-15,-193.96609201844757,0.0,0.0,0.0,4.0835785530397787e-19,0.0,0.0,-31975.0
t12,33832.491888783436,3.6852750933636255e-15,-211.49188878343796,0.0,0.0,0.0,4.083578560865279e-19,0.0,0.0,-33621.0
t13,35188.33183936532,3.6848771904342685e-15,-232.3318393653181,0.0,0.0,0.0,4.0835785765162793e-19,0.0,0.0,-34956.0
t14,33725.335640724654,3.684342795362612e-15,-250.33564072465302,0.0,0.0,0.0,4.0835785631371983e-19,0.0,0.0,-33475.0
t15,32444.219535643,3.684670672903623e-15,-242.21953564299605,0.0,0.0,0.0,4.08357856137015e-19,0.0,0.0,-32202.0
t16,31516.75938790646,3.690027068345706e-15,-173.75938790645995,0.0,0.0,0.0,4.08357857702115e-19,0.0,0.0,-31343.0
t17,32448.05749169533,3.690621857011258e-15,-185.05749169533263,0.0,0.0,0.0,4.083578601759828e-19,0.0,0.0,-32263.0
t18,33375.58438388529,3.690249450683512e-15,-205.5843838852884,0.0,0.0,0.0,4.0835785941867635e-19,0.0,0.0,-33170.0
t19,37370.2890831663,3.689383273261366e-15,-227.28908316629762,0.0,0.0,0.0,4.083578632556958e-19,0.0,0.0,-37143.0
t20,37288.104770007914,3.689373150948812e-15,-228.10477000792173,0.0,0.0,0.0,4.0835786209449254e-19,0.0,0.0,-37060.0
t21,36661.30502245204,3.6945112216841864e-15,-175.30502245204627,0.0,0.0,0.0,4.08357862069249e-19,0.0,0.0,-36486.0
t22,35402.6860894614,3.695441013741534e-15,-184.68608946139778,0.0,0.0,0.0,4.0835786070609735e-19,0.0,0.0,-35218.0
