Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,392756.4760740196,0.0,0.0,1.2246115530501541e6,46345.57321318632,1.2355099053628794e6,0.0,8.513418480042417e6,0.0,364107.71380737645,28280.039578126652,1.1805029741128158e7
t1,0.0,0.0,0.0,0.0,7174.809078901958,2.0847326122982427e-15,5946.0,0.0,11901.196914868086,0.0,1083.653910141,1.5883854860814516e-15,26105.659903911044
t2,0.0,0.0,0.0,0.0,7181.534564137981,2.0851676015601708e-15,5946.0,0.0,10210.057084297214,0.0,1083.653910141,1.5884821661242662e-15,24421.245558576196
t3,0.0,0.0,0.0,0.0,6809.248194235813,2.085255234728626e-15,5946.0,0.0,10044.76239994399,0.0,1083.653910141,1.5885573059703396e-15,23883.664504320805
t4,0.0,0.0,0.0,0.0,5962.545425145937,2.085402051015548e-15,5946.0,0.0,10642.778103942612,0.0,1083.653910141,1.5886552609052732e-15,23634.97743922955
t5,0.0,0.0,0.0,0.0,7263.275763068256,2.085988262955521e-15,5946.0,0.0,9520.555089116557,0.0,1083.653910141,1.5887184593652287e-15,23813.484762325817
t6,0.0,0.0,0.0,0.0,6765.099477062947,2.0897887165693455e-15,5946.0,0.0,10999.04424167695,0.0,1083.653910141,1.5892663088397408e-15,24793.7976288809
t7,0.0,0.0,0.0,0.0,6505.789246398721,2.0905947529978756e-15,5946.0,0.0,12785.413109178115,0.0,1083.653910141,1.58935661783408e-15,26320.856265717837
t8,0.0,521.7336798658429,0.0,0.0,5801.444952328551,2.0904094533737255e-15,5946.0,0.0,14638.383698535723,0.0,1083.653910141,1.5894016196647277e-15,27991.21624087112
t9,0.0,2350.3145356690165,0.0,0.0,6232.583980539709,2.0901849443545645e-15,5946.0,0.0,13871.647426383794,0.0,1083.653910141,1.5893901091363113e-15,29484.199852733524
t10,0.0,3953.137372856571,0.0,0.0,6930.316694226543,2.0904780890986424e-15,5946.0,0.0,13357.497749984346,0.0,1083.653910141,1.5894259285383766e-15,31270.605727208458
t11,0.0,5460.800456927962,0.0,0.0,6502.169863529917,2.0945660659371016e-15,5946.0,0.0,13176.341861419563,0.0,1083.653910141,1.5898915561566034e-15,32168.966092018447
t12,0.0,5720.155286596054,0.0,0.0,6232.057719378889,2.095349066626343e-15,5910.882293724,0.0,14885.742678943494,0.0,1083.653910141,1.5899260267372824e-15,33832.491888783436
t13,0.0,5750.547404906826,0.0,0.0,5241.079684753955,2.094926880259141e-15,5825.165144214,0.0,17287.885695349538,0.0,1083.653910141,1.5899503101751276e-15,35188.33183936532
t14,0.0,5762.170036451402,0.0,0.0,5108.285639468662,2.0944202445416613e-15,5465.0738323079995,0.0,16306.152222355588,0.0,1083.653910141,1.589922550820951e-15,33725.335640724654
t15,0.0,4451.125063422567,0.0,0.0,5179.2744536458795,2.094692469060867e-15,4812.069841908,0.0,16918.09626652555,0.0,1083.653910141,1.5899782038427562e-15,32444.219535643
t16,0.0,2280.590128477312,0.0,0.0,4129.651762380736,2.0995198692663324e-15,3921.987415188,0.0,20100.87617171941,0.0,1083.653910141,1.5905071990793737e-15,31516.75938790646
t17,0.0,0.0,0.0,0.0,3593.8147899824,2.0999658802963325e-15,3642.2551575959997,0.0,24128.33363397593,0.0,1083.653910141,1.5906559767149257e-15,32448.05749169533
t18,0.0,0.0,0.0,0.0,3499.9610198836676,2.0996380402886417e-15,3103.0101283860004,0.0,25688.959325474618,0.0,1083.653910141,1.5906114103948704e-15,33375.58438388529
t19,0.0,0.0,0.0,0.0,4179.182509769888,2.098712282287744e-15,2984.65466541,0.0,29122.797997845413,0.0,1083.653910141,1.5906709909736217e-15,37370.2890831663
t20,0.0,0.0,0.0,0.0,3821.1462418965507,2.0987712306937122e-15,3085.720516074,0.0,29297.584101896362,0.0,1083.653910141,1.5906019202551002e-15,37288.104770007914
t21,0.0,0.0,0.0,0.0,3601.8956219739207,2.1033763203192896e-15,3377.864680014,0.0,28597.890810323122,0.0,1083.653910141,1.5911349013648968e-15,36661.30502245204
t22,0.0,0.0,0.0,0.0,4262.873236057853,2.104331755492614e-15,3323.123449398,0.0,26733.035493864543,0.0,1083.653910141,1.5911092582489198e-15,35402.6860894614
t23,0.0,0.0,0.0,0.0,3850.492133310802,2.10318680145363e-15,2910.377191788,0.0,25755.992164439318,0.0,1083.653910141,1.5910397201733521e-15,33600.51539967912
t24,0.0,0.0,0.0,0.0,3039.3099616476293,2.1019779818335264e-15,2558.3626646579996,0.0,23939.158916818007,0.0,1083.653910141,1.5909546117669217e-15,30620.48545326464
t25,0.0,0.0,0.0,0.0,4271.937780777911,2.1020133915743934e-15,2220.37862832,0.0,19487.332957955798,0.0,1083.653910141,1.5908967556529525e-15,27063.30327719471
t26,0.0,0.0,0.0,0.0,3277.3095536635483,2.1067002194657905e-15,1954.6006635300002,0.0,19876.45991578451,0.0,1083.653910141,1.5914620388894523e-15,26192.02404311906
t27,0.0,0.0,0.0,0.0,3097.8395553736736,2.107233564431659e-15,1656.132113988,0.0,19846.40003564313,0.0,1083.653910141,1.5914254179493734e-15,25684.02561514581
t28,0.0,0.0,0.0,0.0,3017.2800976844183,2.1057913853734306e-15,1708.150772286,0.0,20482.211636184125,0.0,1083.653910141,1.5913758659015735e-15,26291.296416295547
t29,0.0,0.0,0.0,0.0,2677.5119644086267,2.1042350593197776e-15,2004.20472258,0.0,21038.614535184122,0.0,1083.653910141,1.5913227743479326e-15,26803.985132313752
t30,0.0,0.0,0.0,0.0,2601.5058661689727,2.1038934260753726e-15,2134.466854338,0.0,22486.474331527843,0.0,1083.653910141,1.5912820925714315e-15,28306.100962175817
t31,0.0,0.0,0.0,0.0,3186.356632498701,2.1088485690236054e-15,2076.667506732,0.0,24380.816681217795,0.0,1083.653910141,1.5918898539105302e-15,30727.494730589497
t32,0.0,414.8252046672119,0.0,0.0,3572.3171330478885,2.108324945704681e-15,1973.3113520040001,0.0,27091.82592641766,0.0,1083.653910141,1.591894676683694e-15,34135.93352627776
t33,0.0,2178.254207646364,0.0,0.0,3383.0476617551194,2.1069701773033227e-15,2235.443604192,0.0,27313.075402841114,0.0,1083.653910141,1.5917502206532524e-15,36193.4747865756
t34,0.0,3916.1104103279245,0.0,0.0,2352.629536067268,2.105157083220595e-15,2373.9608472120003,0.0,27967.45081588679,0.0,1083.653910141,1.5917014736589837e-15,37693.80551963499
t35,0.0,5435.2232120270655,0.0,0.0,2220.3335349971208,2.105069057348144e-15,2492.476959216,0.0,26993.008088450493,0.0,1083.653910141,1.5916206318501529e-15,38224.69570483168
t36,0.0,5801.308179466515,0.0,0.0,2187.0039380304584,2.1098868316528212e-15,2627.571952206,0.0,27880.851085386796,0.0,1083.653910141,1.592107229427486e-15,39580.389065230775
t37,0.0,5844.976875044135,0.0,0.0,2395.7273988727097,2.109952251919902e-15,2521.401948114,0.0,28068.84141838478,0.0,1083.653910141,1.5920742309181046e-15,39914.60155055663
t38,0.0,5838.875547386599,0.0,0.0,2341.0463459118187,2.108570891936597e-15,2358.665469786,0.0,25921.534735982073,0.0,1083.653910141,1.5919000417771471e-15,37543.77600920749
t39,0.0,4379.36106365032,0.0,0.0,2577.4761942385912,2.1066674101739742e-15,2497.801840056,0.0,25711.3759133322,0.0,1083.653910141,1.591790720863609e-15,36249.66892141811
t40,0.0,2399.4038901016766,0.0,0.0,2990.0067819808587,2.10624225691671e-15,2501.227402008,0.0,27645.06663933089,0.0,1083.653910141,1.5918011650528183e-15,36619.358623562424
t41,0.0,0.0,0.0,0.0,3103.4579856916625,2.108234021804954e-15,2362.388456604,0.0,32447.295089868756,0.0,1083.653910141,1.5925986558784401e-15,38996.79544230542
t42,0.0,0.0,0.0,0.0,3044.4110755333654,2.1164076444869064e-15,2390.420600088,0.0,36113.60161618401,0.0,1083.653910141,1.5977356359761765e-15,42632.08720194638
t43,0.0,0.0,0.0,0.0,3799.885131981989,2.1021179651949984e-15,2899.80854544,0.0,34617.51956259074,0.0,1083.653910141,1.5931258355570106e-15,42400.86715015373
t44,0.0,0.0,0.0,0.0,4152.57289292611,2.1037659449284738e-15,3665.2480006739997,0.0,29297.06591202415,0.0,1083.653910141,1.592129551826894e-15,38198.540715765266
t45,0.0,0.0,0.0,0.0,3768.939655189947,2.1019273157802366e-15,4802.9281642079995,0.0,27845.523000868772,0.0,1083.653910141,1.591992977586919e-15,37501.044730407724
t46,0.0,0.0,0.0,0.0,4726.838821800131,2.106578843738993e-15,4860.3906174,0.0,25298.808471958466,0.0,1083.653910141,1.5924903828993406e-15,35969.691821299595
t47,0.0,0.0,0.0,0.0,4220.494382511071,2.105202168493087e-15,4750.573634208,0.0,23882.682173538815,0.0,1083.653910141,1.5923912839736198e-15,33937.40410039889
t48,0.0,0.0,0.0,0.0,4047.977800154096,2.102517070121183e-15,4965.376451808,0.0,21451.744189062923,0.0,1083.653910141,1.592212312177758e-15,31548.75235116602
t49,0.0,0.0,0.0,0.0,4861.9815713202615,2.0995120172543677e-15,5266.49849304,0.0,19022.235038586754,0.0,1083.653910141,1.5920682614658165e-15,30234.369013088017
t50,0.0,0.0,0.0,0.0,4519.389315004528,2.0977004726877225e-15,5540.34565551,0.0,18431.566050615766,0.0,1083.653910141,1.5920033648040635e-15,29574.954931271295
t51,0.0,0.0,0.0,0.0,4176.14677260074,2.099998188730288e-15,5681.263584138,0.0,18206.615000848,0.0,1083.653910141,1.5925171160325698e-15,29147.67926772774
t52,0.0,0.0,0.0,0.0,3562.700210288039,2.09815585877599e-15,5705.5113661919995,0.0,18977.56264505787,0.0,1083.653910141,1.5924252545236185e-15,29329.428131678913
t53,0.0,0.0,0.0,0.0,3280.0982261947092,2.095345521743828e-15,5583.459839886,0.0,19922.054247892043,0.0,1083.653910141,1.5922621118627538e-15,29869.266224113755
t54,0.0,0.0,0.0,0.0,3028.3659177202107,2.092373600976063e-15,5333.2973197559995,0.0,22140.683593798123,0.0,1083.653910141,1.5921448589075268e-15,31586.000741415337
t55,0.0,0.0,0.0,0.0,2901.3314911882926,2.089644990422397e-15,5206.375549716,0.0,26991.040178292806,0.0,1083.653910141,1.5921012967847352e-15,36182.4011293381
t56,0.0,192.73027486970122,0.0,0.0,3276.6557588220653,2.0901757628565603e-15,4930.935430062,0.0,32708.722740597295,0.0,1083.653910141,1.5929062860026098e-15,42192.698114492065
t57,0.0,2062.207792231226,0.0,0.0,3242.10564283942,2.0876002080131767e-15,4520.240257044,0.0,33292.860863098766,0.0,1083.653910141,1.5927456779265395e-15,44201.068465354416
t58,0.0,3539.118708643678,0.0,0.0,2690.002098187422,2.085042545913623e-15,3808.0744823279997,0.0,33654.45929288624,0.0,1083.653910141,1.5927118269041393e-15,44775.30849218634
t59,0.0,4870.940961737106,0.0,0.0,2078.538344536484,2.081359182817433e-15,2919.329287224,0.0,33146.47996992479,0.0,1083.653910141,1.592473087793503e-15,44098.94247356338
t60,0.0,5229.125479609396,0.0,0.0,1798.9015768537333,2.0785741633022792e-15,2156.967416184,0.0,34499.05653747241,0.0,1083.653910141,1.5926366859206926e-15,44767.70492026054
t61,0.0,5542.799952484112,0.0,0.0,1321.3173955618086,2.0754321394589876e-15,1672.546582128,0.0,34663.41846124376,0.0,1083.653910141,1.593137183441039e-15,44283.73630155868
t62,0.0,4846.873045746656,0.0,0.0,890.1669855076319,2.068439656659096e-15,1481.256918282,0.0,32395.547336965443,0.0,1083.653910141,1.5925657101018228e-15,40697.49819664273
t63,0.0,3713.664877146276,0.0,0.0,963.9792918405537,2.0616231745257037e-15,1106.905243224,0.0,32519.483973479993,0.0,1083.653910141,1.5923675860762507e-15,39387.68729583183
t64,0.0,1491.9124983328245,0.0,0.0,1013.6054842367696,2.05494247160832e-15,867.5326438860001,0.0,35251.23994488446,0.0,1083.653910141,1.592807686176991e-15,39707.944481481056
t65,0.0,0.0,0.0,0.0,935.9987203380965,478.8881911188942,872.4591784019999,0.0,36901.00000000001,0.0,1083.653910141,1798.0000000000002,42070.0
t66,0.0,0.0,0.0,0.0,1009.8898180626696,4069.2802095963216,1071.1760622,0.0,36901.00000000001,0.0,1083.653910141,1797.9999999999989,45933.0
t67,0.0,0.0,0.0,0.0,1386.7304894196707,4633.600974839319,1038.0146256,0.0,36901.00000000001,0.0,1083.653910141,1798.000000000003,46841.0
t68,0.0,0.0,0.0,0.0,2599.16219172353,478.23062444546457,1048.95327369,0.0,36901.0,0.0,1083.653910141,1798.0,43909.0
t69,0.0,0.0,0.0,0.0,3714.5584278022225,1.91623838965931e-18,989.107955052,0.0,36901.0,0.0,1083.653910141,770.6797070047768,43459.0
t70,0.0,0.0,0.0,0.0,3524.2972756265767,1.0692839760317724e-15,1279.46387733,0.0,32437.406392677116,0.0,1083.653910141,1.5928254569116809e-15,38324.8214557747
t71,0.0,0.0,0.0,0.0,4161.6680225682985,2.045117493055222e-15,1250.386593534,0.0,27898.815052398677,0.0,1083.653910141,1.5937838062423034e-15,34394.52357864198
t72,0.0,0.0,0.0,0.0,4328.415462412594,2.045957784480484e-15,1532.8752621299998,0.0,24902.455006090022,0.0,1083.653910141,1.5938577912408441e-15,31847.39964077362
t73,0.0,0.0,0.0,0.0,3846.9926357315653,2.0466807239990383e-15,2170.044115062,0.0,23177.259119386104,0.0,1083.653910141,1.5939656401864821e-15,30277.949780320672
t74,0.0,0.0,0.0,0.0,5002.087590841425,2.0472798405769528e-15,2623.862700648,0.0,20519.62599666544,0.0,1083.653910141,1.5940029830484407e-15,29229.230198295867
t75,0.0,0.0,0.0,0.0,5022.271694940591,2.0478517232671747e-15,2832.051128388,0.0,20031.209010208022,0.0,1083.653910141,1.5941768961178687e-15,28969.185743677615
t76,0.0,0.0,0.0,0.0,4461.606912913821,2.0489891009521334e-15,3000.499435398,0.0,20368.90184673244,0.0,1083.653910141,1.5954384913086193e-15,28914.662105185263
t77,0.0,0.0,0.0,0.0,4136.460939164061,2.0494853127463287e-15,3749.3097005399995,0.0,20739.476347371114,0.0,1083.653910141,1.5955711405765877e-15,29708.900897216176
t78,0.0,0.0,0.0,0.0,4080.9175279466685,2.04989745135063e-15,3818.12941806,0.0,22731.546095417903,0.0,1083.653910141,1.5956149882834858e-15,31714.246951565576
t79,0.0,0.0,0.0,0.0,4615.646900965232,2.050311478201475e-15,4398.810147198,0.0,27010.608611992753,0.0,1083.653910141,1.5957632864644752e-15,37108.71957029699
t80,0.0,48.464963671371784,0.0,0.0,4769.0514762405355,2.0511598513881167e-15,4616.432766108,0.0,33716.962590184135,0.0,1083.653910141,1.5963304259976672e-15,44234.56570634505
