Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,392756.4760740196,6080.168670563102,0.19225093034226187
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,1.2246115530501541e6,8642.249824628074,0.42172782726488106
battery_2,1,46345.57321318632,4633.600974839319,0.0
fixed_offshore_wind_2,1,1.2355099053628794e6,5946.0,0.6184178966666664
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,8.513418480042417e6,36901.0,0.6866359990278378
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,364107.71380737645,1960.5,0.5527436420000007
pumped_hydro_2,1,28280.039578126652,1798.0,0.0
