Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,54756.11201935968,0.0,0.0,0.0,0.0,0.0,34913.62910879834,89669.74112815803
t1,0.0,0.0,0.0,0.0,0.0,86.81629110575484,0.0,0.0,0.0,0.0,0.0,128.84361280529063,215.6599039110455
t2,0.0,0.0,0.0,0.0,0.0,94.87372452489511,0.0,0.0,0.0,0.0,0.0,141.37183405130318,236.24555857619828
t3,0.0,0.0,0.0,0.0,0.0,101.1459156865609,0.0,0.0,0.0,0.0,0.0,149.51858863424172,250.66450432080262
t4,0.0,0.0,0.0,0.0,0.0,106.91294431766555,0.0,0.0,0.0,0.0,0.0,159.06449491188627,265.9774392295518
t5,0.0,0.0,0.0,0.0,0.0,104.45766003797952,0.0,0.0,0.0,0.0,0.0,156.02710228783468,260.4847623258142
t6,0.0,0.0,0.0,0.0,0.0,85.28244410721169,0.0,0.0,0.0,0.0,0.0,105.51518477368427,190.79762888089596
t7,0.0,0.0,0.0,0.0,0.0,88.22778671050357,0.0,0.0,0.0,0.0,0.0,115.62847900733718,203.85626571784076
t8,0.0,0.0,0.0,0.0,0.0,95.54266144397708,0.0,0.0,0.0,0.0,0.0,134.67357942714057,230.21624087111763
t9,0.0,0.0,0.0,0.0,0.0,98.83247855756096,0.0,0.0,0.0,0.0,0.0,154.36737417595992,253.19985273352088
t10,0.0,0.0,0.0,0.0,0.0,98.77873632873965,0.0,0.0,0.0,0.0,0.0,158.8269908797242,257.60572720846386
t11,0.0,0.0,0.0,0.0,0.0,81.66027907514128,0.0,0.0,0.0,0.0,0.0,112.30581294330628,193.96609201844757
t12,0.0,0.0,0.0,0.0,0.0,83.66946364780614,0.0,0.0,0.0,0.0,0.0,127.8224251356318,211.49188878343796
t13,0.0,0.0,0.0,0.0,0.0,89.77607666201918,0.0,0.0,0.0,0.0,0.0,142.55576270329894,232.3318393653181
t14,0.0,0.0,0.0,0.0,0.0,92.65453868438291,0.0,0.0,0.0,0.0,0.0,157.6811020402701,250.33564072465302
t15,0.0,0.0,0.0,0.0,0.0,91.35917914421832,0.0,0.0,0.0,0.0,0.0,150.86035649877772,242.21953564299605
t16,0.0,0.0,0.0,0.0,0.0,75.53947367165863,0.0,0.0,0.0,0.0,0.0,98.21991423480131,173.75938790645995
t17,0.0,0.0,0.0,0.0,0.0,79.78991083892515,0.0,0.0,0.0,0.0,0.0,105.26758085640748,185.05749169533263
t18,0.0,0.0,0.0,0.0,0.0,83.07110412106412,0.0,0.0,0.0,0.0,0.0,122.51327976422427,205.5843838852884
t19,0.0,0.0,0.0,0.0,0.0,90.88888470879536,0.0,0.0,0.0,0.0,0.0,136.40019845750226,227.28908316629762
t20,0.0,0.0,0.0,0.0,0.0,89.96178025699804,0.0,0.0,0.0,0.0,0.0,138.14298975092368,228.10477000792173
t21,0.0,0.0,0.0,0.0,0.0,75.21970529257122,0.0,0.0,0.0,0.0,0.0,100.08531715947507,175.30502245204627
t22,0.0,0.0,0.0,0.0,0.0,74.69881461950474,0.0,0.0,0.0,0.0,0.0,109.98727484189305,184.68608946139778
t23,0.0,0.0,0.0,0.0,0.0,80.64847772757693,0.0,0.0,0.0,0.0,0.0,126.86692195154474,207.51539967912169
t24,0.0,0.0,0.0,0.0,0.0,83.80234842639184,0.0,0.0,0.0,0.0,0.0,141.6831048382438,225.48545326463562
t25,0.0,0.0,0.0,0.0,0.0,81.30327282487546,0.0,0.0,0.0,0.0,0.0,142.00000436983194,223.3032771947074
