region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NE,natural_gas_ccs_2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,solar_pv_2,1,1,2,0.0,0.0,1.2162370949893848e6,0.0,0.0,0.0,0.0,0.0,0.0,1.2162370949891778e6,0.0,0.0,0.0,0.0,0.0,1.2162370949891778e6,1.2162370949893848e6,-2.069864422082901e-7
NE,comm_solar_pv_2,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,res_solar_pv_2,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,onshore_wind_2,1,1,5,0.0,0.0,3.639797796495259e-6,0.0,0.0,0.0,0.0,0.0,0.0,3.447028527160933e-6,0.0,0.0,0.0,0.0,0.0,3.447028527160933e-6,3.639797796495259e-6,-1.927692693343259e-7
NE,battery_2,1,1,6,0.0,0.0,2.6571914942880414e7,2.4235293191693317e7,0.0,0.0,0.0,0.0,1.8174329519521724e6,5.26246410865245e7,0.0,0.0,0.0,0.0,0.0,5.26246410865245e7,5.26246410865259e7,-1.4007091522216797e-6
NE,fixed_offshore_wind_2,1,1,7,0.0,0.0,4.22166e8,0.0,0.0,0.0,0.0,0.0,0.0,1.4791489950830254e8,2.7425110049169916e8,0.0,0.0,0.0,0.0,4.2216600000000167e8,4.22166e8,1.6689300537109375e-6
NE,float_offshore_wind_2,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,natural_gas_2,1,1,9,0.0,0.0,7.878394192677433e8,0.0,1.316749419260756e7,3.706998019750208e8,0.0,2.473365511650153e-7,0.0,1.1717067154353416e9,0.0,0.0,0.0,0.0,0.0,1.1717067154353416e9,1.1717067154353719e9,-3.0279159545898438e-5
NE,nuclear_2,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,ror_hydro_2,1,1,11,0.0,0.0,3.666135e7,0.0,0.0,0.0,0.0,0.0,0.0,4.421589553448779e7,0.0,0.0,0.0,0.0,0.0,4.421589553448779e7,3.666135e7,7.554545534487791e6
NE,pumped_hydro_2,1,1,12,0.0,0.0,1.143462213804014e-6,0.0,0.0,0.0,0.0,0.0,1.1889274451388646e-7,6.56316611835639e-7,0.0,0.0,0.0,0.0,0.0,6.56316611835639e-7,1.2623549583179004e-6,-6.060383464822615e-7
