Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,1.1410878726198228e-8,0.0,0.0,4.4372210252973764e-8,37572.8488220085,1.1661405336509135e6,0.0,7.284387629866079e6,0.0,277914.94938244735,3353.3986857241325,8.769369360407228e6
t1,0.0,0.0,0.0,0.0,2.279361757021882e-10,3.7098125947139863e-10,5548.237751579938,0.0,11164.582341770176,0.0,829.326822328499,1.4398713131605746e-10,17542.146915679357
t2,0.0,0.0,0.0,0.0,2.2811985274083958e-10,3.690681440039159e-10,5892.894870743939,0.0,8683.205919955897,0.0,829.326822328499,1.3356827700678716e-10,15405.427613029065
t3,0.0,0.0,0.0,0.0,2.3092104840385842e-10,3.666176708483534e-10,5926.251776147938,0.0,7861.922355798392,0.0,829.326822328499,1.2397814688801465e-10,14617.50095427555
t4,0.0,0.0,0.0,0.0,2.4307959172472947e-10,3.651453479083145e-10,5869.018933691938,0.0,7333.792584138135,0.0,829.326822328499,1.1603269389138501e-10,14032.138340159298
t5,0.0,1.2986064935766241e-12,0.0,0.0,2.528917307604408e-10,3.646150022439987e-10,5788.4172944699385,0.0,7125.584577363049,0.0,829.326822328499,1.1059380462798919e-10,13743.328694162217
t6,0.0,4.538905230138241e-12,0.0,0.0,2.972866136361134e-10,3.660461447281782e-10,5283.6323439359385,0.0,8307.05054038872,0.0,829.326822328499,1.461764904491329e-10,14420.009706653971
t7,0.0,6.842918915479083e-12,0.0,0.0,2.572227680538597e-10,3.658644105778082e-10,4814.600762753938,0.0,9001.627733527424,0.0,829.326822328499,1.4134322718260212e-10,14645.555318610635
t8,0.0,2.1182696168394512e-11,0.0,0.0,1.6184399087045552e-10,3.641580133545662e-10,4259.320340741938,0.0,9752.37565457164,0.0,829.326822328499,1.2815128100403196e-10,14841.022817642754
t9,0.0,5.1501975538270296e-11,0.0,0.0,9.889477413132855e-11,3.627230723767575e-10,3868.6807522079375,0.0,11399.09084023078,0.0,829.326822328499,1.1603486397116115e-10,16097.098414767846
t10,0.0,9.240102857261553e-11,0.0,0.0,1.0249696538860535e-10,3.625446131638698e-10,3017.5706273459377,0.0,14276.70185086505,0.0,829.326822328499,1.0766881419382739e-10,18123.599300540154
t11,0.0,1.2830031728235832e-10,0.0,0.0,9.204109147194983e-11,3.6428216377822067e-10,2287.8595444799375,0.0,17156.663721835146,0.0,829.326822328499,1.429623807146261e-10,20273.850088644307
t12,0.0,1.5388669552577795e-10,0.0,0.0,4.641685870019031e-11,3.6420053543787514e-10,1929.1120642499377,0.0,19579.80503476851,0.0,829.326822328499,1.379918417368917e-10,22338.243921347646
