Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,31070.732988120537,0.0,0.0,0.0,0.0,0.0,7798.102954770196,38868.835942890735
t1,0.0,0.0,0.0,0.0,0.0,65.56369091299868,0.0,0.0,0.0,0.0,0.0,23.209288511226102,88.77297942422479
t2,0.0,0.0,0.0,0.0,0.0,65.72752940290187,0.0,0.0,0.0,0.0,0.0,24.99797776780017,90.72550717070203
t3,0.0,0.0,0.0,0.0,0.0,68.45205401595237,0.0,0.0,0.0,0.0,0.0,26.468624989618043,94.9206790055704
t4,0.0,0.0,0.0,0.0,0.0,71.18968354779938,0.0,0.0,0.0,0.0,0.0,28.08788592112649,99.27756946892586
t5,0.0,0.0,0.0,0.0,0.0,72.16586181477888,0.0,0.0,0.0,0.0,0.0,27.843110594828286,100.00897240960717
t6,0.0,0.0,0.0,0.0,0.0,67.13822716161243,0.0,0.0,0.0,0.0,0.0,21.17189813204435,88.31012529365678
t7,0.0,0.0,0.0,0.0,0.0,68.86006533756222,0.0,0.0,0.0,0.0,0.0,23.491607624385185,92.3516729619474
t8,0.0,0.0,0.0,0.0,0.0,72.22489736207076,0.0,0.0,0.0,0.0,0.0,26.39966590800995,98.62456327008071
t9,0.0,0.0,0.0,0.0,0.0,74.05489962116052,0.0,0.0,0.0,0.0,0.0,28.134178169158407,102.18907779031892
t10,0.0,0.0,0.0,0.0,0.0,72.18224105071822,0.0,0.0,0.0,0.0,0.0,28.180094716326664,100.36233576704488
t11,0.0,0.0,0.0,0.0,0.0,63.53028366911748,0.0,0.0,0.0,0.0,0.0,22.06414039129451,85.594424060412
t12,0.0,0.0,0.0,0.0,0.0,63.87563647890409,0.0,0.0,0.0,0.0,0.0,23.8881808309785,87.7638173098826
t13,0.0,0.0,0.0,0.0,0.0,66.21715034625439,0.0,0.0,0.0,0.0,0.0,26.01143378441806,92.22858413067244
t14,0.0,0.0,0.0,0.0,0.0,68.0738785879505,0.0,0.0,0.0,0.0,0.0,27.560666027819423,95.63454461576993
t15,0.0,0.0,0.0,0.0,0.0,68.05836343024124,0.0,0.0,0.0,0.0,0.0,27.119371026194102,95.17773445643535
t16,0.0,0.0,0.0,0.0,0.0,64.060158990247,0.0,0.0,0.0,0.0,0.0,20.22874533983815,84.28890433008516
t17,0.0,0.0,0.0,0.0,0.0,63.085981151529815,0.0,0.0,0.0,0.0,0.0,21.013975030324534,84.09995618185435
t18,0.0,0.0,0.0,0.0,0.0,69.25489768038447,0.0,0.0,0.0,0.0,0.0,23.56208237883619,92.81698005922067
t19,0.0,0.0,0.0,0.0,0.0,60.77813871763071,0.0,0.0,0.0,0.0,0.0,24.383745990161803,85.16188470779251
