BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,8.738207104148392e6,32614.731794566032,-38868.83594295346,0.0,0.0,0.0,4.9510346912731905e-12,0.0,0.0,-8.731953e6
t1,21453.089002337943,5.329457639546864e-10,-11.089002338473563,0.0,0.0,0.0,1.3625045945715373e-14,0.0,0.0,-21442.0
t2,19221.42415592204,5.434877105075945e-10,-576.4241559225858,0.0,0.0,0.0,1.362504591331962e-14,0.0,0.0,-18645.0
t3,17858.741913525373,1.311096113232008e-10,-359.7419135255082,0.0,0.0,0.0,1.3625045900690575e-14,0.0,0.0,-17499.0
t4,16818.456487738633,1.3327919525694133e-10,-314.45648773876565,0.0,0.0,0.0,1.3625045879587776e-14,0.0,0.0,-16504.0
t5,16090.066198893324,1.312704053174245e-10,-289.06619889345416,0.0,0.0,0.0,1.3625045863519146e-14,0.0,0.0,-15801.0
t6,16596.73967679768,1.285393001624461e-10,-263.73967679780753,0.0,0.0,0.0,1.3625045878665276e-14,0.0,0.0,-16333.0
t7,16896.360153013367,1.2401208336094487e-10,-206.3601530134869,0.0,0.0,0.0,1.362504589013756e-14,0.0,0.0,-16690.0
t8,16833.67876748992,1.249187887710464e-10,-190.67876749004142,0.0,0.0,0.0,1.3625045882003079e-14,0.0,0.0,-16643.0
t9,18497.451991726586,1.2539948625366385e-10,-180.45199172671096,0.0,0.0,0.0,1.3625045907698992e-14,0.0,0.0,-18317.0
t10,20862.58651441668,1.2554390581017863e-10,-175.58651441680308,0.0,0.0,0.0,1.3625045954570406e-14,0.0,0.0,-20687.0
t11,23412.571887816892,1.2568831815427402e-10,-170.5718878170206,0.0,0.0,0.0,1.3625046019138961e-14,0.0,0.0,-23242.0
t12,25997.099400205694,1.2712326445011953e-10,-140.0994002058163,0.0,0.0,0.0,1.3625046073135115e-14,0.0,0.0,-25857.0
t13,28276.923473556664,1.2743252641270312e-10,-131.92347355679402,0.0,0.0,0.0,1.3625046097567639e-14,0.0,0.0,-28145.0
t14,29765.54460235561,1.2725616276426358e-10,-129.5446023557381,0.0,0.0,0.0,1.362504613477138e-14,0.0,0.0,-29636.0
t15,30913.897493319757,1.2695817703385471e-10,-127.8974933198815,0.0,0.0,0.0,1.362504619651912e-14,0.0,0.0,-30786.0
t16,32251.83716703428,1.2692276562564966e-10,-121.83716703440643,0.0,0.0,0.0,1.3625046319772262e-14,0.0,0.0,-32130.0
t17,33933.17183975454,1.2809895449108499e-10,-103.17183975467152,0.0,0.0,0.0,1.3625046753777127e-14,0.0,0.0,-33830.0
t18,32935.89576716959,1.2781688850303892e-10,-104.89576716972176,0.0,0.0,0.0,1.3625046742871914e-14,0.0,0.0,-32831.0
t19,35182.66274935663,1.2710233223514535e-10,-182.6627493567614,0.0,0.0,0.0,1.3625047103774693e-14,0.0,0.0,-35000.0
t20,35084.379181311226,1.2693504415631148e-10,-190.37918131135447,0.0,0.0,0.0,1.3625047470015371e-14,0.0,0.0,-34894.0
t21,32330.158760260598,1.2622896699867736e-10,-130.1587602607275,0.0,0.0,0.0,1.3625046474401722e-14,0.0,0.0,-32200.0
t22,29438.94127298562,1.2805334464963948e-10,-96.94127298575188,0.0,0.0,0.0,1.3625046139240093e-14,0.0,0.0,-29342.0
t23,26175.97603314933,1.2824543577339927e-10,-97.97603314945977,0.0,0.0,0.0,1.3625046056438022e-14,0.0,0.0,-26078.0
t24,23116.75870250032,1.2784005661870124e-10,-103.75870250045354,0.0,0.0,0.0,1.362504601607904e-14,0.0,0.0,-23013.0
t25,18448.6942802404,1.2749183144316632e-10,-103.69428024052918,0.0,0.0,0.0,1.3625045912734777e-14,0.0,0.0,-18345.0
t26,16996.420252331594,1.273081647374765e-10,-103.4202523317216,0.0,0.0,0.0,1.3625045895649943e-14,0.0,0.0,-16893.0
