Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,6.605773705814499e-9,0.0,0.0,1.1317560222323664e-8,0.0,1.1261228394232603e-8,0.0,0.0,0.0,0.0,0.0,2.9184562322370766e-8
t1,0.0,0.0,0.0,0.0,3.399236447876319e-11,0.0,3.387867764104158e-11,0.0,0.0,0.0,0.0,0.0,6.787104211980477e-11
t2,0.0,0.0,0.0,0.0,3.353761712787673e-11,0.0,3.387867764104158e-11,0.0,0.0,0.0,0.0,0.0,6.74162947689183e-11
t3,0.0,0.0,0.0,0.0,3.3935521059902385e-11,0.0,3.387867764104158e-11,0.0,0.0,0.0,0.0,0.0,6.781419870094396e-11
t4,0.0,0.0,0.0,0.0,3.382183422218077e-11,0.0,3.387867764104158e-11,0.0,0.0,0.0,0.0,0.0,6.770051186322235e-11
t5,0.0,0.0,0.0,0.0,3.3651303965598345e-11,0.0,3.387867764104158e-11,0.0,0.0,0.0,0.0,0.0,6.752998160663992e-11
t6,0.0,3.410605131648481e-11,0.0,0.0,3.376499080331996e-11,0.0,3.387867764104158e-11,0.0,0.0,0.0,0.0,0.0,1.0174971976084635e-10
t7,0.0,3.382183422218077e-11,0.0,0.0,3.399236447876319e-11,0.0,3.387867764104158e-11,0.0,0.0,0.0,0.0,0.0,1.0169287634198554e-10
t8,0.0,3.399236447876319e-11,0.0,0.0,3.433342499192804e-11,0.0,3.387867764104158e-11,0.0,0.0,0.0,0.0,0.0,1.0220446711173281e-10
t9,0.0,3.2741809263825417e-11,0.0,0.0,3.385025593161117e-11,0.0,3.387867764104158e-11,0.0,0.0,0.0,0.0,0.0,1.0047074283647817e-10
t10,0.0,3.456079866737127e-11,0.0,0.0,3.385025593161117e-11,0.0,3.387867764104158e-11,0.0,0.0,0.0,0.0,0.0,1.0228973224002402e-10
t11,0.0,3.8198777474462986e-11,0.0,0.0,3.387867764104158e-11,0.0,3.399236447876319e-11,0.0,0.0,0.0,0.0,0.0,1.0606981959426776e-10
t12,0.0,3.501554601825774e-11,0.0,0.0,3.3935521059902385e-11,0.0,3.399236447876319e-11,0.0,0.0,0.0,0.0,0.0,1.0294343155692331e-10
t13,0.0,3.54702933691442e-11,0.0,0.0,3.394973191461759e-11,0.0,3.3935521059902385e-11,0.0,0.0,0.0,0.0,0.0,1.0335554634366417e-10
t14,0.0,3.319655661471188e-11,0.0,0.0,3.40207861881936e-11,0.0,3.390709935047198e-11,0.0,0.0,0.0,0.0,0.0,1.0112444215337746e-10
t15,0.0,3.54702933691442e-11,0.0,0.0,3.3935521059902385e-11,0.0,3.3864466786326375e-11,0.0,0.0,0.0,0.0,0.0,1.0327028121537296e-10
t16,0.0,3.410605131648481e-11,0.0,0.0,3.3935521059902385e-11,0.0,3.383604507689597e-11,0.0,0.0,0.0,0.0,0.0,1.0187761745328316e-10
t17,0.0,3.410605131648481e-11,0.0,0.0,3.399236447876319e-11,0.0,3.385025593161117e-11,0.0,0.0,0.0,0.0,0.0,1.0194867172685917e-10
t18,0.0,3.4049207897624e-11,0.0,0.0,3.399236447876319e-11,0.0,3.390709935047198e-11,0.0,0.0,0.0,0.0,0.0,1.0194867172685917e-10
t19,0.0,2.8848035071860068e-11,0.0,0.0,2.8705926524708048e-11,0.0,2.8819613362429664e-11,0.0,0.0,0.0,0.0,0.0,8.637357495899778e-11
t20,0.0,0.0,0.0,0.0,1.454623088648077e-10,0.0,1.5165824152063578e-10,0.0,0.0,0.0,0.0,0.0,2.971205503854435e-10
t21,0.0,0.0,0.0,0.0,3.4219738154206425e-11,0.0,3.399236447876319e-11,0.0,0.0,0.0,0.0,0.0,6.821210263296962e-11
t22,0.0,0.0,0.0,0.0,3.399236447876319e-11,0.0,3.399236447876319e-11,0.0,0.0,0.0,0.0,0.0,6.798472895752639e-11
