Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7633511374897428e-6,0.0,0.0,0.0,1.7633511374897428e-6
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3957304083260664e-9,0.0,0.0,0.0,2.3957304083260664e-9
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.257226720042757e-9,0.0,0.0,0.0,2.257226720042757e-9
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1599885207710334e-9,0.0,0.0,0.0,2.1599885207710334e-9
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2396925921466535e-9,0.0,0.0,0.0,2.2396925921466535e-9
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.143337783496758e-9,0.0,0.0,0.0,2.143337783496758e-9
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08460846192591e-9,0.0,0.0,0.0,2.08460846192591e-9
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.201082268112184e-9,0.0,0.0,0.0,2.201082268112184e-9
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1695178873748556e-9,0.0,0.0,0.0,2.1695178873748556e-9
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139421725657616e-9,0.0,0.0,0.0,2.139421725657616e-9
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117829593438382e-9,0.0,0.0,0.0,2.117829593438382e-9
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0277099358953035e-9,0.0,0.0,0.0,2.0277099358953035e-9
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.968920239115267e-9,0.0,0.0,0.0,1.968920239115267e-9
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.922208766211398e-9,0.0,0.0,0.0,1.922208766211398e-9
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8145922770790007e-9,0.0,0.0,0.0,1.8145922770790007e-9
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7255099140844797e-9,0.0,0.0,0.0,1.7255099140844797e-9
