Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.524947472361696e-11,0.0,0.0,0.0,3.524947472361696e-11
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0607946258145142e-13,0.0,0.0,0.0,1.0607946258145142e-13
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0724996887222134e-13,0.0,0.0,0.0,1.0724996887222134e-13
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0897515516919729e-13,0.0,0.0,0.0,1.0897515516919729e-13
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1063649995029487e-13,0.0,0.0,0.0,1.1063649995029487e-13
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1260595516194584e-13,0.0,0.0,0.0,1.1260595516194584e-13
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.145950139237823e-13,0.0,0.0,0.0,1.145950139237823e-13
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1728148674421413e-13,0.0,0.0,0.0,1.1728148674421413e-13
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1939334674536062e-13,0.0,0.0,0.0,1.1939334674536062e-13
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2017975973272407e-13,0.0,0.0,0.0,1.2017975973272407e-13
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2299328697059728e-13,0.0,0.0,0.0,1.2299328697059728e-13
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2583202979393497e-13,0.0,0.0,0.0,1.2583202979393497e-13
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2852313453801843e-13,0.0,0.0,0.0,1.2852313453801843e-13
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3194037516276955e-13,0.0,0.0,0.0,1.3194037516276955e-13
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351932814253399e-13,0.0,0.0,0.0,1.351932814253399e-13
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3898934713961956e-13,0.0,0.0,0.0,1.3898934713961956e-13
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.437752382753559e-13,0.0,0.0,0.0,1.437752382753559e-13
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4812950511351262e-13,0.0,0.0,0.0,1.4812950511351262e-13
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5452793901229494e-13,0.0,0.0,0.0,1.5452793901229494e-13
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.593985232973029e-13,0.0,0.0,0.0,1.593985232973029e-13
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6852327559512944e-13,0.0,0.0,0.0,1.6852327559512944e-13
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7387754902926262e-13,0.0,0.0,0.0,1.7387754902926262e-13
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8026458993544641e-13,0.0,0.0,0.0,1.8026458993544641e-13
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8439098635592757e-13,0.0,0.0,0.0,1.8439098635592757e-13
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8841905402957963e-13,0.0,0.0,0.0,1.8841905402957963e-13
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9456750666526206e-13,0.0,0.0,0.0,1.9456750666526206e-13
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9921866217026075e-13,0.0,0.0,0.0,1.9921866217026075e-13
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0544687053327994e-13,0.0,0.0,0.0,2.0544687053327994e-13
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1245161230961728e-13,0.0,0.0,0.0,2.1245161230961728e-13
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2123689121846866e-13,0.0,0.0,0.0,2.2123689121846866e-13
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25833047140228e-13,0.0,0.0,0.0,2.25833047140228e-13
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.383628580480035e-13,0.0,0.0,0.0,2.383628580480035e-13
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49993826885265e-13,0.0,0.0,0.0,2.49993826885265e-13
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5945800649664406e-13,0.0,0.0,0.0,2.5945800649664406e-13
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7911100439152063e-13,0.0,0.0,0.0,2.7911100439152063e-13
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9322140564939825e-13,0.0,0.0,0.0,2.9322140564939825e-13
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0083331645284e-13,0.0,0.0,0.0,3.0083331645284e-13
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0497016318049394e-13,0.0,0.0,0.0,3.0497016318049394e-13
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9691561334944603e-13,0.0,0.0,0.0,2.9691561334944603e-13
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9855984319125404e-13,0.0,0.0,0.0,2.9855984319125404e-13
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.447720228775974e-13,0.0,0.0,0.0,4.447720228775974e-13
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.949319296792291e-13,0.0,0.0,0.0,7.949319296792291e-13
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.782294413829269e-13,0.0,0.0,0.0,6.782294413829269e-13
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.156983920457511e-13,0.0,0.0,0.0,3.156983920457511e-13
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.059577529866587e-14,0.0,0.0,0.0,6.059577529866587e-14
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.111442307821312e-14,0.0,0.0,0.0,6.111442307821312e-14
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.691986522739149e-14,0.0,0.0,0.0,6.691986522739149e-14
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.880774055054869e-14,0.0,0.0,0.0,6.880774055054869e-14
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.099648062705756e-14,0.0,0.0,0.0,7.099648062705756e-14
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.532131274080687e-14,0.0,0.0,0.0,7.532131274080687e-14
