Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_ccs_2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv_2,1,22000.0,14335.27807847436,0.0,7664.721921525639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_solar_pv_2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind_2,1,9501.0,9500.999999999924,0.0,7.639755494892597e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_2,1,4813.0,476.46171249486247,0.0,4336.538287505137,10500.0,6.756307804480248e-14,0.0,10500.0,0.0,0.0,0.0,0.0
fixed_offshore_wind_2,1,5946.0,0.0,0.0,5946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
float_offshore_wind_2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_2,1,36901.0,2.2412524109016162e-14,0.0,36901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ror_hydro_2,1,1960.5,2.9948126268029526e-14,0.0,1960.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pumped_hydro_2,1,1798.0,99.95641782445281,0.0,1698.0435821755473,21576.0,1199.4770138934337,0.0,20376.522986106567,0.0,0.0,0.0,0.0
Total,n/a,82919.5,24412.696208793604,0.0,58506.803791206396,32076.0,1199.4770138934337,0.0,30876.522986106567,0.0,0.0,0.0,0.0
