Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2
Zone,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,3.7260613553604996e-9,0.0,0.0,0.0,0.0,0.0,1618.8396272559726
t2,0.0,0.0,0.0,0.0,0.0,404.4233341283489,0.0,0.0,0.0,0.0,0.0,1618.8396272359644
t3,0.0,0.0,0.0,0.0,0.0,624.6730394196338,0.0,0.0,0.0,0.0,0.0,1618.8396272325301
t4,0.0,0.0,0.0,0.0,0.0,814.3832311856614,0.0,0.0,0.0,0.0,0.0,1618.839627229272
t5,0.0,0.0,0.0,0.0,0.0,990.1685564618435,0.0,0.0,0.0,0.0,0.0,1618.8396272263021
t6,0.0,0.0,0.0,0.0,0.0,1152.351866636497,0.0,0.0,0.0,0.0,0.0,1618.8396272235036
t7,0.0,0.0,0.0,0.0,0.0,1282.3215117922605,0.0,0.0,0.0,0.0,0.0,1618.839627220442
t8,0.0,0.0,0.0,0.0,0.0,1404.7746558923268,0.0,0.0,0.0,0.0,0.0,1618.8396272170514
t9,0.0,0.0,0.0,0.0,0.0,1527.4790516685496,0.0,0.0,0.0,0.0,0.0,1618.839627213735
t10,0.0,0.0,0.0,0.0,0.0,1642.427321212881,0.0,0.0,0.0,0.0,0.0,1618.8396272105053
t11,0.0,0.0,0.0,0.0,0.0,1753.8120695143903,0.0,0.0,0.0,0.0,0.0,1618.8396272075092
t12,0.0,0.0,0.0,0.0,0.0,1849.5547353867228,0.0,0.0,0.0,0.0,0.0,1618.8396272043155
t13,0.0,0.0,0.0,0.0,0.0,1946.5023882388443,0.0,0.0,0.0,0.0,0.0,1618.8396272014572
t14,0.0,0.0,0.0,0.0,0.0,2038.1811634891974,0.0,0.0,0.0,0.0,0.0,1618.8396271988408
t15,0.0,0.0,0.0,0.0,0.0,2132.8889027634896,0.0,0.0,0.0,0.0,0.0,1618.8396271966753
t16,0.0,0.0,0.0,0.0,0.0,2226.827180624078,0.0,0.0,0.0,0.0,0.0,1618.8396271948284
t17,0.0,0.0,0.0,0.0,0.0,2311.2363969504586,0.0,0.0,0.0,0.0,0.0,1618.8396271930214
t18,0.0,0.0,0.0,0.0,0.0,2396.3363157470317,0.0,0.0,0.0,0.0,0.0,1618.8396271914005
t19,0.0,0.0,0.0,0.0,0.0,2495.6629793890006,0.0,0.0,0.0,0.0,0.0,1618.8396271904428
t20,0.0,0.0,0.0,0.0,0.0,2594.385832125355,0.0,0.0,0.0,0.0,0.0,1618.8396271897434
t21,0.0,0.0,0.0,0.0,0.0,2690.439312424297,0.0,0.0,0.0,0.0,0.0,1618.8396271892318
t22,0.0,0.0,0.0,0.0,0.0,2765.4448660612197,0.0,0.0,0.0,0.0,0.0,1618.8396271884283
t23,0.0,0.0,0.0,0.0,0.0,2839.1358669978804,0.0,0.0,0.0,0.0,0.0,1618.839627187877
