Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_ccs_2,1,0.0,0.0,0.0
solar_pv_2,1,5.450921284215325e-10,1.8189894035458565e-11,0.0
comm_solar_pv_2,1,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,0.0
onshore_wind_2,1,3.1791146731484046e-9,3.2741809263825417e-11,0.0
battery_2,1,9573.41576694405,4813.0,0.0
fixed_offshore_wind_2,1,1.197914622090138e6,5946.0,0.5996000823333303
float_offshore_wind_2,1,0.0,0.0,0.0
natural_gas_2,1,7.731745273562339e6,36900.99999999999,0.6235914107343152
nuclear_2,1,0.0,0.0,0.0
ror_hydro_2,1,80135.43499709584,537.954935373642,0.44334256042857234
pumped_hydro_2,1,6.8438742699351474e-9,8.958522812463343e-11,0.0
