Time_Index,NG,nuclear,NGCCS,None
0,0.05306,0.0,0.005306,0
8401,8.236,0.66,9.19108,0
8402,8.236,0.66,9.19108,0
8403,8.236,0.66,9.19108,0
8404,8.236,0.66,9.19108,0
8405,8.236,0.66,9.19108,0
8406,8.236,0.66,9.19108,0
8407,8.236,0.66,9.19108,0
8408,8.236,0.66,9.19108,0
8409,8.236,0.66,9.19108,0
8410,8.236,0.66,9.19108,0
8411,8.236,0.66,9.19108,0
8412,8.236,0.66,9.19108,0
8413,8.236,0.66,9.19108,0
8414,8.236,0.66,9.19108,0
8415,8.236,0.66,9.19108,0
8416,8.236,0.66,9.19108,0
8417,8.236,0.66,9.19108,0
8418,8.236,0.66,9.19108,0
8419,8.236,0.66,9.19108,0
8420,8.236,0.66,9.19108,0
8421,8.236,0.66,9.19108,0
8422,8.236,0.66,9.19108,0
8423,8.236,0.66,9.19108,0
8424,8.236,0.66,9.19108,0
8425,8.236,0.66,9.19108,0
8426,8.236,0.66,9.19108,0
8427,8.236,0.66,9.19108,0
8428,8.236,0.66,9.19108,0
8429,8.236,0.66,9.19108,0
8430,8.236,0.66,9.19108,0
8431,8.236,0.66,9.19108,0
8432,8.236,0.66,9.19108,0
8433,8.236,0.66,9.19108,0
8434,8.236,0.66,9.19108,0
8435,8.236,0.66,9.19108,0
8436,8.236,0.66,9.19108,0
8437,8.236,0.66,9.19108,0
8438,8.236,0.66,9.19108,0
8439,8.236,0.66,9.19108,0
8440,8.236,0.66,9.19108,0
8441,8.236,0.66,9.19108,0
8442,8.236,0.66,9.19108,0
8443,8.236,0.66,9.19108,0
8444,8.236,0.66,9.19108,0
8445,8.236,0.66,9.19108,0
8446,8.236,0.66,9.19108,0
8447,8.236,0.66,9.19108,0
8448,8.236,0.66,9.19108,0
8449,8.236,0.66,9.19108,0
8450,8.236,0.66,9.19108,0
8451,8.236,0.66,9.19108,0
8452,8.236,0.66,9.19108,0
8453,8.236,0.66,9.19108,0
8454,8.236,0.66,9.19108,0
8455,8.236,0.66,9.19108,0
8456,8.236,0.66,9.19108,0
8457,8.236,0.66,9.19108,0
8458,8.236,0.66,9.19108,0
8459,8.236,0.66,9.19108,0
8460,8.236,0.66,9.19108,0
8461,8.236,0.66,9.19108,0
8462,8.236,0.66,9.19108,0
8463,8.236,0.66,9.19108,0
8464,8.236,0.66,9.19108,0
8465,8.236,0.66,9.19108,0
8466,8.236,0.66,9.19108,0
8467,8.236,0.66,9.19108,0
8468,8.236,0.66,9.19108,0
8469,8.236,0.66,9.19108,0
8470,8.236,0.66,9.19108,0
8471,8.236,0.66,9.19108,0
8472,8.236,0.66,9.19108,0
