Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
50000,1,1,1,1,336,336,8401,26041
,,,,,,,8402,23877
,,,,,,,8403,23327
,,,,,,,8404,23229
,,,,,,,8405,23483
,,,,,,,8406,24518
,,,,,,,8407,25972
,,,,,,,8408,27911
,,,,,,,8409,28862
,,,,,,,8410,30931
,,,,,,,8411,31892
,,,,,,,8412,34123
,,,,,,,8413,35439
,,,,,,,8414,35405
,,,,,,,8415,35419
,,,,,,,8416,35512
,,,,,,,8417,37112
,,,,,,,8418,38109
,,,,,,,8419,40722
,,,,,,,8420,39995
,,,,,,,8421,37764
,,,,,,,8422,35307
,,,,,,,8423,32590
,,,,,,,8424,28616
,,,,,,,8425,23410
,,,,,,,8426,21632
,,,,,,,8427,20644
,,,,,,,8428,20333
,,,,,,,8429,20644
,,,,,,,8430,22288
,,,,,,,8431,26603
,,,,,,,8432,32566
,,,,,,,8433,34328
,,,,,,,8434,34206
,,,,,,,8435,34309
,,,,,,,8436,35749
,,,,,,,8437,36492
,,,,,,,8438,36326
,,,,,,,8439,37076
,,,,,,,8440,39451
,,,,,,,8441,43102
,,,,,,,8442,47059
,,,,,,,8443,45792
,,,,,,,8444,41262
,,,,,,,8445,39454
,,,,,,,8446,34140
,,,,,,,8447,30527
,,,,,,,8448,27421
,,,,,,,8449,24574
,,,,,,,8450,22773
,,,,,,,8451,21850
,,,,,,,8452,21545
,,,,,,,8453,21729
,,,,,,,8454,23354
,,,,,,,8455,26959
,,,,,,,8456,32684
,,,,,,,8457,34244
,,,,,,,8458,33907
,,,,,,,8459,33627
,,,,,,,8460,34841
,,,,,,,8461,35139
,,,,,,,8462,34031
,,,,,,,8463,33576
,,,,,,,8464,34826
,,,,,,,8465,37836
,,,,,,,8466,41803
,,,,,,,8467,41089
,,,,,,,8468,36874
,,,,,,,8469,35827
,,,,,,,8470,31713
,,,,,,,8471,28793
,,,,,,,8472,25963
,,,,,,,8473,23533
,,,,,,,8474,22020
,,,,,,,8475,21242
,,,,,,,8476,21257
,,,,,,,8477,21431
,,,,,,,8478,22987
,,,,,,,8479,26612
,,,,,,,8480,32045
,,,,,,,8481,33379
,,,,,,,8482,33349
,,,,,,,8483,33103
,,,,,,,8484,33979
