region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NE,natural_gas_ccs_2,1,1,1,0.00012959452299513471,0.0,4.152343415030638e-5,0.0,1.581628630609184e-6,2.752932417774805e-5,0.0,1.1443087757705244e-5,0.0,0.000135511308978317,0.0,0.0,0.0,0.0,0.0,0.000135511308978317,0.00021167199771150358,-7.616068873318659e-5
NE,solar_pv_2,1,1,2,1.050514883e9,0.0,2.86e8,0.0,0.0,0.0,0.0,0.0,0.0,1.9119394484226713e9,0.0,0.0,0.0,0.0,0.0,1.9119394484226713e9,1.336514883e9,5.754245654226713e8
NE,comm_solar_pv_2,1,1,3,1.3572528277549916e-5,0.0,2.08638836831768e-6,0.0,0.0,0.0,0.0,0.0,0.0,8.790443665666667e-6,0.0,0.0,0.0,0.0,0.0,8.790443665666667e-6,1.5658916645867597e-5,-6.86847298020093e-6
NE,res_solar_pv_2,1,1,4,9.22253917826515e-6,0.0,1.52716515847338e-6,0.0,0.0,0.0,0.0,0.0,0.0,3.6903460482696604e-6,0.0,0.0,0.0,0.0,0.0,3.6903460482696604e-6,1.074970433673853e-5,-7.05935828846887e-6
NE,onshore_wind_2,1,1,5,6.569126504219999e8,0.0,2.1852299999999997e8,0.0,0.0,0.0,0.0,0.0,0.0,1.6788994980174165e9,0.0,0.0,0.0,0.0,0.0,1.6788994980174165e9,8.754356504219999e8,8.034638475954165e8
NE,battery_2,1,1,6,1.275804838988444e8,1.6257087200273293e8,3.3684093146657705e7,3.674857541041229e7,0.0,0.0,0.0,0.0,2.523807561211124e7,3.85822100070865e8,0.0,0.0,0.0,0.0,0.0,3.85822100070865e8,3.858221000707586e8,0.00010639429092407227
NE,fixed_offshore_wind_2,1,1,7,1.16950809666e9,0.0,4.2216600000000006e8,0.0,0.0,0.0,0.0,0.0,0.0,1.4715247495284753e9,1.2014934713149047e8,0.0,0.0,0.0,0.0,1.5916740966599658e9,1.59167409666e9,-3.4332275390625e-5
NE,float_offshore_wind_2,1,1,8,1.917095036774314e-5,0.0,3.675688307743026e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.265706200104818e-6,0.0,0.0,0.0,0.0,0.0,9.265706200104818e-6,2.2846638675486166e-5,-1.3580932475381348e-5
NE,natural_gas_2,1,1,9,3.063060955447527e9,0.0,8.856121164180539e8,0.0,1.9819859961475992e8,5.633321860285247e9,0.0,1.7956795444998896e-5,0.0,9.780193531765045e9,0.0,0.0,0.0,0.0,0.0,9.780193531765045e9,9.780193531765604e9,-0.0005588531494140625
NE,nuclear_2,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,ror_hydro_2,1,1,11,0.0,0.0,3.666134999999999e7,0.0,0.0,0.0,0.0,0.0,0.0,4.487480720666853e8,0.0,0.0,0.0,0.0,0.0,4.487480720666853e8,3.666134999999999e7,4.120867220666853e8
NE,pumped_hydro_2,1,1,12,0.0,0.0,8.450599999999994e7,0.0,0.0,0.0,0.0,0.0,3.981957820640197e6,2.0413775808960757e8,0.0,0.0,0.0,0.0,0.0,2.0413775808960757e8,8.848795782064013e7,1.1564980026896743e8
