Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_ccs_2,1,0.0,0.0,1.0647034397514455e-9,1.0647034397514455e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv_2,1,0.0,0.0,22000.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_solar_pv_2,1,0.0,0.0,2.08638836831768e-10,2.08638836831768e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
res_solar_pv_2,1,0.0,0.0,1.0908322560524143e-10,1.0908322560524143e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind_2,1,0.0,0.0,9500.999999999998,9500.999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_2,1,0.0,0.0,4812.013306665386,4812.013306665386,0.0,0.0,10499.592974403511,10499.592974403511,0.0,0.0,0.0,0.0
fixed_offshore_wind_2,1,0.0,0.0,5946.000000000001,5946.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
float_offshore_wind_2,1,0.0,0.0,6.025718537283649e-11,6.025718537283649e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_2,1,0.0,0.0,36900.504850752244,36900.504850752244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ror_hydro_2,1,1960.5,2.329512032798402e-13,0.0,1960.4999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pumped_hydro_2,1,1798.0,1.090536384446535e-12,0.0,1797.9999999999989,21576.0,1.3086436613358419e-11,0.0,21575.999999999985,0.0,0.0,0.0,0.0
Total,n/a,3758.5,1.3234875877263751e-12,79159.51815741908,82918.01815741908,21576.0,1.3086436613358419e-11,10499.592974403511,32075.592974403495,0.0,0.0,0.0,0.0
