Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,982986.0324388418,0.0,0.0,0.0,0.0,0.0,347481.97043191514,1.330468002870757e6
t1,0.0,0.0,0.0,0.0,0.0,2.940666602780117e-10,0.0,0.0,0.0,0.0,0.0,2.4577950963659975e-10,5.398461699146114e-10
t2,0.0,0.0,0.0,0.0,0.0,2.9453669057066367e-10,0.0,0.0,0.0,0.0,0.0,2.4545751136701023e-10,5.399942019376739e-10
t3,0.0,0.0,0.0,0.0,0.0,2.9342949919616835e-10,0.0,0.0,0.0,0.0,0.0,2.450802206323468e-10,5.385097198285151e-10
t4,0.0,0.0,0.0,0.0,0.0,2.9147313889599053e-10,0.0,0.0,0.0,0.0,0.0,2.446913325608439e-10,5.361644714568344e-10
t5,0.0,0.0,0.0,0.0,0.0,2.929557123548396e-10,0.0,0.0,0.0,0.0,0.0,2.4403929901124093e-10,5.369950113660805e-10
t6,0.0,0.0,0.0,0.0,0.0,2.884295646088379e-10,0.0,0.0,0.0,0.0,0.0,2.497765158294134e-10,5.382060804382513e-10
t7,0.0,0.0,0.0,0.0,0.0,2.8562968089289825e-10,0.0,0.0,0.0,0.0,0.0,2.4939775919970724e-10,5.350274400926055e-10
t8,0.0,0.0,0.0,0.0,0.0,2.8898173823008026e-10,0.0,0.0,0.0,0.0,0.0,2.493274134684422e-10,5.383091516985224e-10
t9,0.0,0.0,0.0,0.0,0.0,2.9308833153813167e-10,0.0,0.0,0.0,0.0,0.0,2.5022239717213783e-10,5.433107287102695e-10
t10,0.0,0.0,0.0,0.0,0.0,2.9866174927224197e-10,0.0,0.0,0.0,0.0,0.0,2.4630604451689117e-10,5.449677937891331e-10
t11,0.0,0.0,0.0,0.0,0.0,1961.848867181087,0.0,0.0,0.0,0.0,0.0,2.5032096193457626e-9,1961.84886718359
t12,0.0,0.0,0.0,0.0,0.0,922.2078585641196,0.0,0.0,0.0,0.0,0.0,2.4893358586140326e-9,922.2078585666089
t13,0.0,0.0,0.0,0.0,0.0,3.04081636502483e-10,0.0,0.0,0.0,0.0,0.0,2.508622970819955e-10,5.549439335844785e-10
t14,0.0,0.0,0.0,0.0,0.0,3.0650090640185723e-10,0.0,0.0,0.0,0.0,0.0,2.486784432073156e-10,5.551793496091728e-10
t15,0.0,0.0,0.0,0.0,0.0,3.130047625764771e-10,0.0,0.0,0.0,0.0,0.0,2.562702396938425e-10,5.692750022703196e-10
t16,0.0,0.0,0.0,0.0,0.0,3.1061715335885273e-10,0.0,0.0,0.0,0.0,0.0,2.569996973526202e-10,5.676168507114729e-10
t17,0.0,0.0,0.0,0.0,0.0,3.1315057874064357e-10,0.0,0.0,0.0,0.0,0.0,2.555139931270238e-10,5.686645718676674e-10
t18,0.0,0.0,0.0,0.0,0.0,3.151825869901531e-10,0.0,0.0,0.0,0.0,0.0,2.537863838784797e-10,5.689689708686328e-10
t19,0.0,0.0,0.0,0.0,0.0,3.1336041457243916e-10,0.0,0.0,0.0,0.0,0.0,2.5180946188626033e-10,5.651698764586995e-10
t20,0.0,0.0,0.0,0.0,0.0,3.150832860684735e-10,0.0,0.0,0.0,0.0,0.0,2.511017271670178e-10,5.661850132354913e-10
t21,0.0,0.0,0.0,0.0,0.0,3.261117353388564e-10,0.0,0.0,0.0,0.0,0.0,2.5878719505561477e-10,5.848989303944712e-10
t22,0.0,0.0,0.0,0.0,0.0,3.2748812833688867e-10,0.0,0.0,0.0,0.0,0.0,2.579512692191014e-10,5.8543939755599e-10
t23,0.0,0.0,0.0,0.0,0.0,3.364630359196357e-10,0.0,0.0,0.0,0.0,0.0,2.5817344956224735e-10,5.94636485481883e-10
t24,0.0,0.0,0.0,0.0,0.0,3.477650253575662e-10,0.0,0.0,0.0,0.0,0.0,2.5932242354662033e-10,6.070874489041865e-10
t25,0.0,0.0,0.0,0.0,0.0,3.3556399070102463e-10,0.0,0.0,0.0,0.0,0.0,2.589807900889466e-10,5.945447807899712e-10
t26,0.0,0.0,0.0,0.0,0.0,3.391582273121503e-10,0.0,0.0,0.0,0.0,0.0,2.643224501138839e-10,6.034806774260342e-10
t27,0.0,0.0,0.0,0.0,0.0,3.4276547152826946e-10,0.0,0.0,0.0,0.0,0.0,2.6405708567077995e-10,6.068225571990494e-10
t28,0.0,0.0,0.0,0.0,0.0,3.4977876815262704e-10,0.0,0.0,0.0,0.0,0.0,2.638811223975811e-10,6.136598905502081e-10
t29,0.0,0.0,0.0,0.0,0.0,3.6029109113181293e-10,0.0,0.0,0.0,0.0,0.0,2.638814823764904e-10,6.241725735083033e-10
t30,0.0,0.0,0.0,0.0,0.0,3.7318821834442237e-10,0.0,0.0,0.0,0.0,0.0,2.6361741784068477e-10,6.368056361851071e-10
t31,0.0,0.0,0.0,0.0,0.0,3.6581916034085866e-10,0.0,0.0,0.0,0.0,0.0,2.6786870420372425e-10,6.336878645445829e-10
t32,0.0,0.0,0.0,0.0,0.0,3.675713961996223e-10,0.0,0.0,0.0,0.0,0.0,2.6604510627133104e-10,6.336165024709534e-10
t33,0.0,0.0,0.0,0.0,0.0,3.774236736481268e-10,0.0,0.0,0.0,0.0,0.0,2.687031661893716e-10,6.461268398374984e-10
t34,0.0,0.0,0.0,0.0,0.0,3.7734975854203824e-10,0.0,0.0,0.0,0.0,0.0,2.688205488478653e-10,6.461703073899035e-10
t35,0.0,0.0,0.0,0.0,0.0,3.9593843121646713e-10,0.0,0.0,0.0,0.0,0.0,2.687884717364141e-10,6.647269029528812e-10
t36,0.0,0.0,0.0,0.0,0.0,4.0365190009718517e-10,0.0,0.0,0.0,0.0,0.0,2.741391334676773e-10,6.777910335648625e-10
t37,0.0,0.0,0.0,0.0,0.0,4.0979435989369206e-10,0.0,0.0,0.0,0.0,0.0,2.7403749669031145e-10,6.838318565840035e-10
t38,0.0,0.0,0.0,0.0,0.0,4.262630379756132e-10,0.0,0.0,0.0,0.0,0.0,2.7393020668576233e-10,7.001932446613755e-10
t39,0.0,0.0,0.0,0.0,0.0,4.2752380755212855e-10,0.0,0.0,0.0,0.0,0.0,2.735863045889484e-10,7.011101121410769e-10
t40,0.0,0.0,0.0,0.0,0.0,4.4918481940426314e-10,0.0,0.0,0.0,0.0,0.0,2.7273056027923897e-10,7.219153796835021e-10
t41,0.0,0.0,0.0,0.0,0.0,4.483245041509157e-10,0.0,0.0,0.0,0.0,0.0,2.8806243839201553e-10,7.363869425429312e-10
t42,0.0,0.0,0.0,0.0,0.0,5.039857747041464e-10,0.0,0.0,0.0,0.0,0.0,3.0635157444132094e-10,8.103373491454673e-10
t43,0.0,0.0,0.0,0.0,0.0,4.394286328240131e-10,0.0,0.0,0.0,0.0,0.0,2.836938336040745e-10,7.231224664280876e-10
t44,0.0,0.0,0.0,0.0,0.0,4.6414536206100394e-10,0.0,0.0,0.0,0.0,0.0,2.7715650089489033e-10,7.413018629558943e-10
t45,0.0,0.0,0.0,0.0,0.0,4.945947632612019e-10,0.0,0.0,0.0,0.0,0.0,2.7551170808693636e-10,7.701064713481383e-10
t46,0.0,0.0,0.0,0.0,0.0,5.002049842396553e-10,0.0,0.0,0.0,0.0,0.0,2.817911228094194e-10,7.819961070490748e-10
t47,0.0,0.0,0.0,0.0,0.0,5.226195699572422e-10,0.0,0.0,0.0,0.0,0.0,2.825470073099749e-10,8.05166577267217e-10
t48,0.0,0.0,0.0,0.0,0.0,5.472129581517582e-10,0.0,0.0,0.0,0.0,0.0,2.8293836430520294e-10,8.301513224569611e-10
t49,0.0,0.0,0.0,0.0,0.0,5.580236353338024e-10,0.0,0.0,0.0,0.0,0.0,2.831493681446588e-10,8.411730034784612e-10
t50,0.0,0.0,0.0,0.0,0.0,5.803281314674589e-10,0.0,0.0,0.0,0.0,0.0,2.8309511784213245e-10,8.634232493095913e-10
