Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2
Zone,1,1,1,1,1,1,1,1,1,1,1,1
t1,1.4220018739565915e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148831,0.0,0.0,0.0
t2,1.4219807175247605e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148762,0.0,0.0,0.0
t3,1.422532139356644e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148769,0.0,0.0,0.0
t4,1.4218967194864524e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148776,0.0,0.0,0.0
t5,1.4219096770205928e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148773,0.0,0.0,0.0
t6,1.4224884540668402e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8010097014878,0.0,0.0,0.0
t7,1.4218727942752864e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148787,0.0,0.0,0.0
t8,1.421900880717944e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148887,0.0,0.0,0.0
t9,1.422482645436603e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148894,0.0,0.0,0.0
t10,1.4218828834232368e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148901,0.0,0.0,0.0
t11,1.4219057502847199e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148865,0.0,0.0,0.0
t12,1.422542154863178e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148872,0.0,0.0,0.0
t13,1.4220376290359611e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8010097014888,0.0,0.0,0.0
t14,1.4221651940876662e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148838,0.0,0.0,0.0
t15,1.4228809215523837e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148847,0.0,0.0,0.0
t16,1.4224510243916053e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148855,0.0,0.0,0.0
t17,1.4226510147312466e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148895,0.0,0.0,0.0
t18,1.4234244790613277e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148904,0.0,0.0,0.0
t19,1.4229964994353934e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970148912,0.0,0.0,0.0
t20,1.423156647193046e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149012,0.0,0.0,0.0
t21,1.4238374218508598e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8010097014902,0.0,0.0,0.0
t22,1.4232905795432512e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149029,0.0,0.0,0.0
t23,1.4234140095930007e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149023,0.0,0.0,0.0
t24,1.4240838457255219e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149032,0.0,0.0,0.0
t25,1.4235785407709937e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149041,0.0,0.0,0.0
t26,1.4237826144548406e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149013,0.0,0.0,0.0
t27,1.4245907548384142e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149023,0.0,0.0,0.0
t28,1.4242605644464975e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149033,0.0,0.0,0.0
t29,1.4246284018344265e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149088,0.0,0.0,0.0
t30,1.4256080320743997e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149098,0.0,0.0,0.0
t31,1.4254502031246633e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149108,0.0,0.0,0.0
t32,1.4259799338208746e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149095,0.0,0.0,0.0
t33,1.4270999874853404e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149107,0.0,0.0,0.0
t34,1.4271098093252308e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149118,0.0,0.0,0.0
t35,1.4278692813389563e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149155,0.0,0.0,0.0
t36,1.4293105580132342e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149167,0.0,0.0,0.0
t37,1.429703160494805e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149178,0.0,0.0,0.0
t38,1.4308826528086625e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149219,0.0,0.0,0.0
t39,1.4328437449437651e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149232,0.0,0.0,0.0
t40,1.4338413465841991e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149245,0.0,0.0,0.0
t41,1.4356484340129264e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149249,0.0,0.0,0.0
t42,1.4381587978975917e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149263,0.0,0.0,0.0
t43,1.4394674955713967e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149277,0.0,0.0,0.0
t44,1.4417119738637538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149275,0.0,0.0,0.0
t45,1.444666367893924e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8010097014929,0.0,0.0,0.0
t46,1.4468088115117705e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149306,0.0,0.0,0.0
t47,1.4501654801736024e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8010097014936,0.0,0.0,0.0
t48,1.4544826437743027e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149377,0.0,0.0,0.0
t49,1.4582279083614219e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149395,0.0,0.0,0.0
t50,1.4633972500051986e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149417,0.0,0.0,0.0
t51,1.469813310629718e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149437,0.0,0.0,0.0
t52,1.4759690972311087e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149456,0.0,0.0,0.0
t53,1.483912058168059e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149479,0.0,0.0,0.0
t54,1.4935021347388797e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149502,0.0,0.0,0.0
t55,1.5033161485525128e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.80100970149526,0.0,0.0,0.0
