Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,108553.34850094518,4.7590969947229016e-8,3.3431477860649306e-8,55261.68649661251,0.0,84547.4733028069,6.612152799975425e-8,0.0,0.0,0.0,0.0,248362.50830051172
t1,0.0,0.0,0.0,0.0,1.2732925824820995e-11,0.0,1.4551915228366852e-11,9.741501811603888e-12,0.0,0.0,0.0,0.0,3.7026342864791735e-11
t2,0.0,0.0,0.0,0.0,1.3642420526593924e-11,0.0,1.4551915228366852e-11,9.736143317600455e-12,0.0,0.0,0.0,0.0,3.793047907256123e-11
t3,0.0,0.0,0.0,0.0,1.1823431123048067e-11,0.0,1.4551915228366852e-11,9.724785479949277e-12,0.0,0.0,0.0,0.0,3.6100131831364196e-11
t4,0.0,0.0,0.0,0.0,1.2732925824820995e-11,0.0,1.4551915228366852e-11,9.73308121467347e-12,0.0,0.0,0.0,0.0,3.701792226786132e-11
t5,0.0,0.0,0.0,0.0,1.2732925824820995e-11,0.0,1.4551915228366852e-11,9.735252095550459e-12,0.0,0.0,0.0,0.0,3.7020093148738306e-11
t6,0.0,0.0,0.0,0.0,1.2732925824820995e-11,0.0,1.4551915228366852e-11,9.73068342458001e-12,0.0,0.0,0.0,0.0,3.701552447776786e-11
t7,0.0,0.0,0.0,0.0,1.2732925824820995e-11,0.0,1.4551915228366852e-11,9.737649865096132e-12,0.0,0.0,0.0,0.0,3.702249091828398e-11
t8,0.0,1.4097167877480388e-11,4.1981117981663324e-12,2.2573098735248487e-12,1.2732925824820995e-11,0.0,1.4551915228366852e-11,9.75373486754624e-12,0.0,0.0,0.0,0.0,5.759116546990565e-11
t9,0.0,1.2732925824820995e-11,9.995649643263866e-12,7.341171843770219e-12,1.3642420526593924e-11,0.0,1.4551915228366852e-11,9.908172933003611e-12,0.0,0.0,0.0,0.0,6.817225599981946e-11
t10,0.0,1.6370904631912708e-11,1.1797795090303812e-11,9.599483434719074e-12,1.3642420526593924e-11,0.0,1.4551915228366852e-11,1.0146322773642325e-11,0.0,0.0,0.0,0.0,7.61088416855387e-11
t11,0.0,1.0913936421275139e-11,1.3118056372306218e-11,1.1207217630192288e-11,1.3642420526593924e-11,0.0,1.7280399333685637e-11,1.0577745329955594e-11,0.0,0.0,0.0,0.0,7.673977561400879e-11
t12,0.0,2.546585164964199e-11,1.325833397393525e-11,1.1385299205951448e-11,2.2737367544323206e-11,0.0,1.9099388737231493e-11,1.0428865554286103e-11,0.0,0.0,0.0,0.0,1.023751066653695e-10
t13,0.0,1.8189894035458565e-11,1.2726548049066042e-11,1.1024747381549457e-11,1.3642420526593924e-11,0.0,1.546140993013978e-11,9.84734318940197e-12,0.0,0.0,0.0,0.0,8.089236311220973e-11
t14,0.0,1.4551915228366852e-11,1.2720479529132323e-11,1.1025044034319977e-11,1.4551915228366852e-11,0.0,1.4551915228366852e-11,9.229489086452496e-12,0.0,0.0,0.0,0.0,7.663075833500535e-11
t15,0.0,1.6370904631912708e-11,1.2153503494200961e-11,1.0078134996705697e-11,1.4551915228366852e-11,0.0,1.4551915228366852e-11,8.837969584916048e-12,0.0,0.0,0.0,0.0,7.654434316446912e-11
t16,0.0,1.2732925824820995e-11,9.729151275944172e-12,7.1548435954359376e-12,1.2732925824820995e-11,0.0,1.4097167877480388e-11,7.478834245618932e-12,0.0,0.0,0.0,0.0,6.392584864412142e-11
t17,0.0,0.0,0.0,0.0,1.318767317570746e-11,0.0,1.4551915228366852e-11,7.552103045312755e-12,0.0,0.0,0.0,0.0,3.5291691449387066e-11
t18,0.0,0.0,0.0,0.0,1.3642420526593924e-11,0.0,1.4551915228366852e-11,6.4256809800161035e-12,0.0,0.0,0.0,0.0,3.462001673497688e-11
t19,0.0,0.0,0.0,0.0,1.3642420526593924e-11,0.0,1.4551915228366852e-11,7.481350786760978e-12,0.0,0.0,0.0,0.0,3.567568654172175e-11
t20,0.0,0.0,0.0,0.0,1.3642420526593924e-11,0.0,1.4551915228366852e-11,7.810860198713675e-12,0.0,0.0,0.0,0.0,3.6005195953674454e-11
t21,0.0,0.0,0.0,0.0,1.318767317570746e-11,0.0,1.4551915228366852e-11,7.998702688004869e-12,0.0,0.0,0.0,0.0,3.573829109207918e-11
t22,0.0,0.0,0.0,0.0,1.3642420526593924e-11,0.0,1.4551915228366852e-11,7.680124934123812e-12,0.0,0.0,0.0,0.0,3.5874460689084584e-11
t23,0.0,0.0,0.0,0.0,1.3642420526593924e-11,0.0,1.4551915228366852e-11,8.055665565052467e-12,0.0,0.0,0.0,0.0,3.625000132001324e-11
t24,0.0,0.0,0.0,0.0,1.3642420526593924e-11,0.0,1.5006662579253316e-11,8.139500064952011e-12,0.0,0.0,0.0,0.0,3.678858317079925e-11
t25,0.0,0.0,0.0,0.0,1.2732925824820995e-11,0.0,1.4551915228366852e-11,7.943999953107185e-12,0.0,0.0,0.0,0.0,3.522884100629503e-11
t26,0.0,0.0,0.0,0.0,1.3642420526593924e-11,0.0,1.4551915228366852e-11,7.074642329422051e-12,0.0,0.0,0.0,0.0,3.526897808438283e-11
t27,0.0,0.0,0.0,0.0,1.318767317570746e-11,0.0,1.4551915228366852e-11,6.621435585430416e-12,0.0,0.0,0.0,0.0,3.436102398950473e-11
t28,0.0,0.0,0.0,0.0,1.318767317570746e-11,0.0,1.4551915228366852e-11,6.628761878361152e-12,0.0,0.0,0.0,0.0,3.436835028243547e-11
t29,0.0,0.0,0.0,0.0,1.318767317570746e-11,0.0,1.4779288903810084e-11,5.9013679633867905e-12,0.0,0.0,0.0,0.0,3.3868330042904334e-11
t30,0.0,0.0,0.0,0.0,1.3642420526593924e-11,0.0,1.5006662579253316e-11,5.008834525146108e-12,0.0,0.0,0.0,0.0,3.365791763099335e-11
t31,0.0,0.0,0.0,0.0,1.3642420526593924e-11,0.0,1.4551915228366852e-11,4.674476533577026e-12,0.0,0.0,0.0,0.0,3.28688122885378e-11
t32,0.0,1.4097167877480388e-11,3.4782280145862124e-12,1.8260938753553005e-12,1.3642420526593924e-11,0.0,1.4551915228366852e-11,4.956367433453704e-12,0.0,0.0,0.0,0.0,5.2552192955836376e-11
t33,0.0,1.4551915228366852e-11,9.673743863948642e-12,6.963015232458913e-12,1.318767317570746e-11,0.0,1.4551915228366852e-11,4.558107004679783e-12,0.0,0.0,0.0,0.0,6.34863697335285e-11
t34,0.0,1.2732925824820995e-11,1.1255246464215586e-11,9.292899345949383e-12,1.318767317570746e-11,0.0,1.4097167877480388e-11,4.226187398560417e-12,0.0,0.0,0.0,0.0,6.479210008673423e-11
t35,0.0,1.4551915228366852e-11,1.186475305812612e-11,1.0442446765720616e-11,1.3642420526593924e-11,0.0,1.5006662579253316e-11,4.9851108027112335e-12,0.0,0.0,0.0,0.0,7.049330896077206e-11
t36,0.0,1.0913936421275139e-11,1.1996728968067315e-11,1.0658229471343214e-11,1.4097167877480388e-11,0.0,1.4551915228366852e-11,5.196368728279665e-12,0.0,0.0,0.0,0.0,6.741434669481258e-11
t37,0.0,1.4551915228366852e-11,1.200795777446917e-11,1.0679095820751277e-11,1.318767317570746e-11,0.0,1.4551915228366852e-11,5.14219038757857e-12,0.0,0.0,0.0,0.0,7.012074761524019e-11
t38,0.0,1.0913936421275139e-11,1.202221672279219e-11,1.0685758456477861e-11,1.318767317570746e-11,0.0,1.5006662579253316e-11,6.3198859560266515e-12,0.0,0.0,0.0,0.0,6.813613331153261e-11
t39,0.0,1.6370904631912708e-11,1.151344267138783e-11,9.717146627963009e-12,1.318767317570746e-11,0.0,1.5006662579253316e-11,5.25272600276624e-12,0.0,0.0,0.0,0.0,7.104855568899056e-11
