Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,4.896683066901499e-7,4.166950514754104e7,1.8447237078012177e-7,7.680156233429279e-8,3.558094245841408e7,831999.3778562575,3.1468887897952225e7,1.746471638848345e-7,1.2310472025761485e8,0.0,7.778975467441365e6,281460.396049858,2.4071649100287062e8
t1,5.2544154588684345e-11,0.0,0.0,0.0,7887.744793535986,1.1197351762653587e-10,5945.999999999986,3.9066818340393674e-11,10972.60129632328,0.0,1083.6539101409999,7.911453574124088e-11,25890.00000000054
t2,5.241760932285094e-11,0.0,0.0,0.0,7895.138566745985,1.1107268265081241e-10,5945.999999999986,3.907217683439711e-11,9260.207523113286,0.0,1083.6539101409999,7.945943734977912e-11,24185.00000000054
t3,5.2351535103920606e-11,0.0,0.0,0.0,7485.859400762986,1.1073740405658386e-10,5945.999999999986,3.9083534672048285e-11,9117.486689096278,0.0,1083.6539101409999,7.973978938258088e-11,23633.00000000053
t4,5.2307691292049133e-11,0.0,0.0,0.0,6555.022735268986,1.1086629288524678e-10,5945.999999999986,3.907523893732409e-11,9784.323354590275,0.0,1083.6539101409999,7.997446737955214e-11,23369.00000000053
t5,5.2232515769202355e-11,0.0,0.0,0.0,7985.002103069986,1.1028530206505122e-10,5945.999999999986,3.90730680564471e-11,8538.343986789287,0.0,1083.6539101409999,8.021935296932379e-11,23553.00000000054
t6,5.21262486748899e-11,0.0,0.0,0.0,7437.323779787986,1.1169118849816734e-10,5945.999999999986,3.907763672741755e-11,10136.022310071285,0.0,1083.6539101409999,7.855778431179001e-11,24603.00000000054
t7,5.203970288665485e-11,0.0,0.0,0.0,7152.246797342987,1.1210712879285663e-10,5945.999999999986,3.907067028690143e-11,11935.09929251628,0.0,1083.6539101409999,7.890899037069886e-11,26117.00000000054
t8,5.1616169359443713e-11,1887.7997599999858,6.287993520018941e-12,2.7237235324041272e-12,6377.914271234986,1.0780121543762912e-10,5945.999999999986,3.905458528445132e-11,12465.63205862429,0.0,1083.6539101409999,7.909901101532429e-11,27761.00000000053
t9,5.045469231165256e-11,8504.191673999987,3.724233116091243e-11,1.5097470302091405e-11,6851.894078594985,1.0085953468634976e-10,5945.999999999986,3.890014721899395e-11,6845.260337264262,0.0,1083.6539101409999,7.904334043425964e-11,29231.000000000546
t10,5.022243420187064e-11,14303.718681999984,6.765464615945842e-11,2.814143737496308e-11,7618.958054672985,1.0785566102277593e-10,5945.999999999986,3.866199737835524e-11,2060.6693531862184,0.0,1083.6539101409999,7.97186041748738e-11,31013.000000000546
