BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,2.3960303122896495e8,1.1134597739061185e6,-1.3304680028707432e6,0.0,0.0,0.0,1.3808883103668082e-10,0.0,0.0,-2.39386023e8
t1,25890.000000000342,1.9108805336777674e-10,-5.398461699146114e-10,0.0,0.0,0.0,1.5691534009416142e-14,0.0,0.0,-25890.0
t2,24185.00000000035,1.9053212000059153e-10,-5.399942019376739e-10,0.0,0.0,0.0,1.5692485270931446e-14,0.0,0.0,-24185.0
t3,23633.000000000342,1.9047719343916474e-10,-5.385097198285151e-10,0.0,0.0,0.0,1.5689788449049586e-14,0.0,0.0,-23633.0
t4,23369.000000000342,1.9084076026479893e-10,-5.361644714568344e-10,0.0,0.0,0.0,1.5692255800089878e-14,0.0,0.0,-23369.0
t5,23553.00000000035,1.90504655034375e-10,-5.369950113660805e-10,0.0,0.0,0.0,1.568943010499703e-14,0.0,0.0,-23553.0
t6,24603.00000000035,1.9024897280995736e-10,-5.382060804382513e-10,0.0,0.0,0.0,1.566443040919715e-14,0.0,0.0,-24603.0
t7,26117.000000000342,1.910161191635555e-10,-5.350274400926055e-10,0.0,0.0,0.0,1.5661660526570925e-14,0.0,0.0,-26117.0
t8,27761.00000000035,1.869002264529534e-10,-5.383091516985224e-10,0.0,0.0,0.0,1.5635534025643488e-14,0.0,0.0,-27761.0
t9,29231.000000000364,1.799028751206094e-10,-5.433107287102695e-10,0.0,0.0,0.0,1.5644635774526358e-14,0.0,0.0,-29231.0
t10,31013.000000000357,1.8757426519764972e-10,-5.449677937891331e-10,0.0,0.0,0.0,1.5646927078991627e-14,0.0,0.0,-31013.0
t11,33936.848867183464,1.4500309107482332e-10,-1961.84886718359,0.0,0.0,0.0,1.5631577815141502e-14,0.0,0.0,-31975.0
t12,34543.20785856644,1.4513856590347633e-10,-922.2078585666089,0.0,0.0,0.0,1.562729240622092e-14,0.0,0.0,-33621.0
t13,34956.00000000037,1.917111144518469e-10,-5.549439335844785e-10,0.0,0.0,0.0,1.5627076583426785e-14,0.0,0.0,-34956.0
t14,33475.000000000364,1.9235293938566984e-10,-5.551793496091728e-10,0.0,0.0,0.0,1.5623553888503174e-14,0.0,0.0,-33475.0
t15,32202.00000000038,1.882979344741144e-10,-5.692750022703196e-10,0.0,0.0,0.0,1.5621149806813286e-14,0.0,0.0,-32202.0
t16,31343.000000000386,1.8670509669915868e-10,-5.676168507114729e-10,0.0,0.0,0.0,1.5605016431607546e-14,0.0,0.0,-31343.0
t17,32263.00000000038,1.9039078134821337e-10,-5.686645718676674e-10,0.0,0.0,0.0,1.5605741307666784e-14,0.0,0.0,-32263.0
t18,33170.00000000038,1.8859789368076374e-10,-5.689689708686328e-10,0.0,0.0,0.0,1.5604420675155823e-14,0.0,0.0,-33170.0
t19,37143.00000000038,1.9192458632535215e-10,-5.651698764586995e-10,0.0,0.0,0.0,1.5612824285006552e-14,0.0,0.0,-37143.0
t20,37060.00000000038,1.9181756438795673e-10,-5.661850132354913e-10,0.0,0.0,0.0,1.5615196174400985e-14,0.0,0.0,-37060.0
t21,36486.000000000386,1.885798007531303e-10,-5.848989303944712e-10,0.0,0.0,0.0,1.5605152119378193e-14,0.0,0.0,-36486.0
t22,35218.00000000039,1.8639050581381574e-10,-5.8543939755599e-10,0.0,0.0,0.0,1.5608163613774785e-14,0.0,0.0,-35218.0
t23,33393.00000000041,1.8175190871273713e-10,-5.94636485481883e-10,0.0,0.0,0.0,1.560312643657477e-14,0.0,0.0,-33393.0
t24,30395.00000000043,1.7879007892634552e-10,-6.070874489041865e-10,0.0,0.0,0.0,1.559481955697072e-14,0.0,0.0,-30395.0
t25,26840.000000000415,1.8200423340292014e-10,-5.945447807899712e-10,0.0,0.0,0.0,1.559445618256356e-14,0.0,0.0,-26840.0
t26,26026.000000000422,1.810421172595907e-10,-6.034806774260342e-10,0.0,0.0,0.0,1.5571933015350655e-14,0.0,0.0,-26026.0
t27,25503.00000000043,1.8020447535973634e-10,-6.068225571990494e-10,0.0,0.0,0.0,1.55663547771283e-14,0.0,0.0,-25503.0
t28,26092.00000000043,1.79959046091469e-10,-6.136598905502081e-10,0.0,0.0,0.0,1.556599956867854e-14,0.0,0.0,-26092.0
t29,26588.000000000444,1.7807309808760944e-10,-6.241725735083033e-10,0.0,0.0,0.0,1.5561949539781427e-14,0.0,0.0,-26588.0
t30,28089.00000000046,1.7563830321491428e-10,-6.368056361851071e-10,0.0,0.0,0.0,1.5556022131532934e-14,0.0,0.0,-28089.0
t31,30564.00000000046,1.7441716765520922e-10,-6.336878645445829e-10,0.0,0.0,0.0,1.553942780021612e-14,0.0,0.0,-30564.0
t32,33954.00000000046,1.786112281201795e-10,-6.336165024709534e-10,0.0,0.0,0.0,1.5513374336070965e-14,0.0,0.0,-33954.0
t33,35990.00000000048,1.7530700769999164e-10,-6.461268398374984e-10,0.0,0.0,0.0,1.5529612933369853e-14,0.0,0.0,-35990.0
t34,37469.00000000048,1.7534627148660564e-10,-6.461703073899035e-10,0.0,0.0,0.0,1.553266390396719e-14,0.0,0.0,-37469.0
t35,38003.00000000049,1.7366514911823166e-10,-6.647269029528812e-10,0.0,0.0,0.0,1.553407004032942e-14,0.0,0.0,-38003.0
t36,39414.0000000005,1.7284296425659114e-10,-6.777910335648625e-10,0.0,0.0,0.0,1.5521483466548354e-14,0.0,0.0,-39414.0
t37,39733.000000000524,1.7280222223410567e-10,-6.838318565840035e-10,0.0,0.0,0.0,1.5525313767686152e-14,0.0,0.0,-39733.0
t38,37347.000000000524,1.7244052319384373e-10,-7.001932446613755e-10,0.0,0.0,0.0,1.5529577384258443e-14,0.0,0.0,-37347.0
t39,36040.00000000054,1.7253288239998972e-10,-7.011101121410769e-10,0.0,0.0,0.0,1.552961773186993e-14,0.0,0.0,-36040.0
t40,36418.00000000055,1.716118161070976e-10,-7.219153796835021e-10,0.0,0.0,0.0,1.5529915399570753e-14,0.0,0.0,-36418.0
t41,38830.00000000056,1.809297306908372e-10,-7.363869425429312e-10,0.0,0.0,0.0,1.5525884357584155e-14,0.0,0.0,-38830.0
t42,42437.00000000064,1.8071972055571582e-10,-8.103373491454673e-10,0.0,0.0,0.0,1.5535320774299757e-14,0.0,0.0,-42437.0
t43,42151.000000000546,1.7538486342234647e-10,-7.231224664280876e-10,0.0,0.0,0.0,1.5551493387334134e-14,0.0,0.0,-42151.0
t44,37990.000000000575,1.7454024489181372e-10,-7.413018629558943e-10,0.0,0.0,0.0,1.5559843509772288e-14,0.0,0.0,-37990.0
t45,37285.000000000604,1.7195016715957318e-10,-7.701064713481383e-10,0.0,0.0,0.0,1.556386501392547e-14,0.0,0.0,-37285.0
t46,35809.00000000062,1.6856240354075987e-10,-7.819961070490748e-10,0.0,0.0,0.0,1.5563315413730965e-14,0.0,0.0,-35809.0
t47,33760.00000000063,1.6779916482998262e-10,-8.05166577267217e-10,0.0,0.0,0.0,1.5564331069305023e-14,0.0,0.0,-33760.0
t48,31352.000000000655,1.68601389700694e-10,-8.301513224569611e-10,0.0,0.0,0.0,1.5563701893305453e-14,0.0,0.0,-31352.0
t49,30019.00000000067,1.6838809543714259e-10,-8.411730034784612e-10,0.0,0.0,0.0,1.5566332036481555e-14,0.0,0.0,-30019.0
t50,29356.0000000007,1.6767729887685453e-10,-8.634232493095913e-10,0.0,0.0,0.0,1.5566159231826373e-14,0.0,0.0,-29356.0
t51,28981.000000000728,1.6595966308940363e-10,-8.937179010578389e-10,0.0,0.0,0.0,1.5554076565219185e-14,0.0,0.0,-28981.0
t52,29146.00000000075,1.6589513007123063e-10,-9.15026495683059e-10,0.0,0.0,0.0,1.5553420027869266e-14,0.0,0.0,-29146.0
t53,29667.00000000078,1.6522114361684814e-10,-9.462351937344803e-10,0.0,0.0,0.0,1.5550349693722918e-14,0.0,0.0,-29667.0
t54,31368.000000000822,1.6406369385932039e-10,-9.864086738226992e-10,0.0,0.0,0.0,1.5542691024990688e-14,0.0,0.0,-31368.0
t55,35953.00000000081,1.6710006767926215e-10,-9.718326686704747e-10,0.0,0.0,0.0,1.5538206999974457e-14,0.0,0.0,-35953.0
t56,42000.000000000975,1.7556240377229608e-10,-1.1398952860463485e-9,0.0,0.0,0.0,1.547723050834672e-14,0.0,0.0,-42000.0
t57,44004.000000000924,1.6486652986447154e-10,-1.0855979866127235e-9,0.0,0.0,0.0,1.5496580401761047e-14,0.0,0.0,-44004.0
t58,44563.000000000975,1.582833745676102e-10,-1.1280373373221549e-9,0.0,0.0,0.0,1.5491169845743636e-14,0.0,0.0,-44563.0
t59,43868.00000000108,1.5782493398558203e-10,-1.2331221536735888e-9,0.0,0.0,0.0,1.5483442971054478e-14,0.0,0.0,-43868.0
t60,44533.00000000115,1.5703110532084442e-10,-1.2948047391923799e-9,0.0,0.0,0.0,1.5474664320608675e-14,0.0,0.0,-44533.0
t61,44099.00000000125,1.5445376095194035e-10,-1.4048955702592668e-9,0.0,0.0,0.0,1.545421483556739e-14,0.0,0.0,-44099.0
t62,40478.000000001455,1.530748768255546e-10,-1.5966614336386833e-9,0.0,0.0,0.0,1.5451826214589262e-14,0.0,0.0,-40478.0
t63,39134.00000000169,1.5175113681803443e-10,-1.8309373302551664e-9,0.0,0.0,0.0,1.5445754559616103e-14,0.0,0.0,-39134.0
t64,39395.000000001986,1.5662376676726222e-10,-2.136363498962145e-9,0.0,0.0,0.0,1.5442133544166043e-14,0.0,0.0,-39395.0
t65,39885.62358277586,2184.3764172242713,-1.45255843781273e-10,0.0,0.0,0.0,1.541158870968262e-14,0.0,0.0,-42070.0
t66,40165.57386455755,5767.426135442611,-1.581404989559109e-10,0.0,0.0,0.0,1.5408464910580962e-14,0.0,0.0,-45933.0
t67,40546.69844042134,6294.301559578974,-1.6849135606365091e-10,0.0,0.0,0.0,1.541655389110342e-14,0.0,0.0,-46841.0
t68,41890.543893723356,2018.456106276709,-1.5514577610210952e-10,0.0,0.0,0.0,1.544004488022791e-14,0.0,0.0,-43909.0
t69,43056.927838764735,402.0721612354503,-1.5598826408014044e-10,0.0,0.0,0.0,1.5471144354877224e-14,0.0,0.0,-43459.0
t70,37025.27217791203,1.5694634100979417e-10,-442.2721779121863,0.0,0.0,0.0,1.5490207886639734e-14,0.0,0.0,-36583.0
t71,33813.10348455898,1.4610087722926955e-10,-206.10348455913012,0.0,0.0,0.0,1.5492652903516014e-14,0.0,0.0,-33607.0
t72,31413.274695621272,1.462228889595108e-10,-198.27469562141837,0.0,0.0,0.0,1.5496781161562805e-14,0.0,0.0,-31215.0
t73,29872.138351675814,1.4727619009979243e-10,-199.13835167596957,0.0,0.0,0.0,1.550961562601962e-14,0.0,0.0,-29673.0
t74,28814.684430491936,1.4916627140221377e-10,-186.68443049208645,0.0,0.0,0.0,1.5518903358968714e-14,0.0,0.0,-28628.0
t75,28561.201011203266,1.5005939966977586e-10,-160.20101120342227,0.0,0.0,0.0,1.552192902471585e-14,0.0,0.0,-28401.0
