Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,3.0728419385626814e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.629653067108894e-10,0.0,0.0,0.0,1.1702495005671576e-9
t1,3.543877373840194e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22249132317453e-14,0.0,0.0,0.0,6.766368697014724e-14
t2,3.538829491792969e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22631645631378e-14,0.0,0.0,0.0,6.765145948106749e-14
t3,3.4827613123718617e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1908142207877e-14,0.0,0.0,0.0,6.673575533159561e-14
t4,3.5419173415192015e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18055416648569e-14,0.0,0.0,0.0,6.722471508004892e-14
t5,3.537573756272715e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18726354507863e-14,0.0,0.0,0.0,6.724837301351345e-14
t6,3.4817148626513867e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.150633976855862e-14,0.0,0.0,0.0,6.632348839507249e-14
t7,3.5411462959203565e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1418093565734807e-14,0.0,0.0,0.0,6.682955652493837e-14
t8,3.536973139077108e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.149466565748468e-14,0.0,0.0,0.0,6.686439704825576e-14
t9,3.481642378658804e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1137563737425455e-14,0.0,0.0,0.0,6.59539875240135e-14
t10,3.540386338594945e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1049835962074605e-14,0.0,0.0,0.0,6.645369934802406e-14
t11,3.537201797436513e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112773625884679e-14,0.0,0.0,0.0,6.649975423321192e-14
t12,3.478857960165773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0754234931731696e-14,0.0,0.0,0.0,6.554281453338943e-14
t13,3.535330307978399e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0656922053524936e-14,0.0,0.0,0.0,6.601022513330893e-14
t14,3.5315283957603067e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.073315799219506e-14,0.0,0.0,0.0,6.604844194979813e-14
t15,3.474239938023259e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0329195325909194e-14,0.0,0.0,0.0,6.507159470614178e-14
t16,3.530478643189374e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0200532384889696e-14,0.0,0.0,0.0,6.550531881678344e-14
t17,3.5268155265558596e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.027962903608738e-14,0.0,0.0,0.0,6.554778430164597e-14
t18,3.4702557144913e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9873258956500446e-14,0.0,0.0,0.0,6.457581610141344e-14
t19,3.529444628426964e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.983986642734018e-14,0.0,0.0,0.0,6.513431271160982e-14
t20,3.528132966287647e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.009029066703474e-14,0.0,0.0,0.0,6.537162032991121e-14
t21,3.4741686656010694e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9902861011071404e-14,0.0,0.0,0.0,6.46445476670821e-14
t22,3.534523402731719e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.984786779126061e-14,0.0,0.0,0.0,6.51931018185778e-14
t23,3.529907958276935e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.995813996843472e-14,0.0,0.0,0.0,6.525721955120407e-14
t24,3.4746917412315125e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.971030949070225e-14,0.0,0.0,0.0,6.445722690301738e-14
t25,3.5329276648664056e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.958069996117417e-14,0.0,0.0,0.0,6.490997660983823e-14
t26,3.5259104072700364e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.960562953594002e-14,0.0,0.0,0.0,6.486473360864038e-14
t27,3.468209799196818e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9314971318506514e-14,0.0,0.0,0.0,6.39970693104747e-14
t28,3.524175179644662e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9229386368110685e-14,0.0,0.0,0.0,6.44711381645573e-14
t29,3.5174788297704506e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.924332402726517e-14,0.0,0.0,0.0,6.441811232496968e-14
t30,3.459577478140183e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.897375449692153e-14,0.0,0.0,0.0,6.356952927832336e-14
t31,3.515232012198409e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.885812326039077e-14,0.0,0.0,0.0,6.401044338237486e-14
t32,3.5090185389998686e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888055221771655e-14,0.0,0.0,0.0,6.397073760771523e-14
t33,3.4517806586401475e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8695959734649546e-14,0.0,0.0,0.0,6.321376632105102e-14
t34,3.506125933493291e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.859354370321745e-14,0.0,0.0,0.0,6.365480303815036e-14
t35,3.4967951875240895e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.856698327890544e-14,0.0,0.0,0.0,6.353493515414633e-14
t36,3.4354154264912666e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8287996581394128e-14,0.0,0.0,0.0,6.26421508463068e-14
t37,3.4858556149936884e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8146185231964926e-14,0.0,0.0,0.0,6.300474138190181e-14
t38,3.4748079030025285e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8092104152026557e-14,0.0,0.0,0.0,6.284018318205184e-14
t39,3.407367253157307e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.770543393451863e-14,0.0,0.0,0.0,6.17791064660917e-14
t40,3.451625915151896e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.753036784008981e-14,0.0,0.0,0.0,6.204662699160877e-14
t41,3.440547806523617e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7585308503504948e-14,0.0,0.0,0.0,6.199078656874112e-14
t42,3.37643925915008e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7229044530165542e-14,0.0,0.0,0.0,6.099343712166634e-14
t43,3.4314686594222045e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7375826969438727e-14,0.0,0.0,0.0,6.169051356366077e-14
t44,3.4150477592038185e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.748257809123703e-14,0.0,0.0,0.0,6.163305568327522e-14
t45,3.351049860985635e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7170251381489686e-14,0.0,0.0,0.0,6.068074999134604e-14
t46,3.385772330464236e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7224913610801142e-14,0.0,0.0,0.0,6.10826369154435e-14
t47,3.358497424981947e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7284897983169545e-14,0.0,0.0,0.0,6.086987223298902e-14
t48,3.285473481426503e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.691242213860285e-14,0.0,0.0,0.0,5.976715695286788e-14
t49,3.3066747376534206e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6790634421460744e-14,0.0,0.0,0.0,5.985738179799495e-14
