Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,3.072839264288851e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.404688871918449e-10,0.0,0.0,0.0,8.4775281362073e-10
t1,3.4752724049792615e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.211695824703965e-14,0.0,0.0,0.0,1.2686968229683227e-13
t2,3.536713848594925e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38054253996419e-14,0.0,0.0,0.0,1.2917256388559115e-13
t3,3.5379034955602176e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4256165672912e-14,0.0,0.0,0.0,1.2963520062851418e-13
t4,3.4783753545000375e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.519707292486493e-14,0.0,0.0,0.0,1.299808264698653e-13
t5,3.5388695096907286e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.691458232898951e-14,0.0,0.0,0.0,1.323032774258968e-13
t6,3.539592567276128e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.741233481365566e-14,0.0,0.0,0.0,1.3280826048641694e-13
t7,3.47958031676498e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.838248349790598e-14,0.0,0.0,0.0,1.3317828666555577e-13
t8,3.5397817832843284e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0018536536844179e-13,0.0,0.0,0.0,1.3558318320128507e-13
t9,3.5398188505246986e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0073075037966272e-13,0.0,0.0,0.0,1.361289388849097e-13
t10,3.4804101372583197e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0180237042584064e-13,0.0,0.0,0.0,1.3660647179842384e-13
t11,3.539488483585391e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0376602987297329e-13,0.0,0.0,0.0,1.391609147088272e-13
t12,3.542498418011578e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0440864605186207e-13,0.0,0.0,0.0,1.3983363023197785e-13
t13,3.4848777252567195e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0561104514128708e-13,0.0,0.0,0.0,1.4045982239385428e-13
t14,3.5442849009496986e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773490107545191e-13,0.0,0.0,0.0,1.431777500849489e-13
t15,3.545812684495008e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0858296707535248e-13,0.0,0.0,0.0,1.4404109392030256e-13
t16,3.487488927111529e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0997107839698965e-13,0.0,0.0,0.0,1.4484596766810494e-13
t17,3.546814560526654e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1228395489662999e-13,0.0,0.0,0.0,1.4775210050189653e-13
t18,3.547602147499415e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.132334429272381e-13,0.0,0.0,0.0,1.4870946440223225e-13
t19,3.48664666583353e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.141551683400454e-13,0.0,0.0,0.0,1.490216349983807e-13
t20,3.5441477420557605e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1613519671520238e-13,0.0,0.0,0.0,1.5157667413575998e-13
t21,3.542246131382449e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1562785799429425e-13,0.0,0.0,0.0,1.5105031930811874e-13
t22,3.4798391719708506e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1635951545555212e-13,0.0,0.0,0.0,1.5115790717526062e-13
t23,3.5422509632441184e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.195373437566861e-13,0.0,0.0,0.0,1.5495985338912729e-13
t24,3.5416753544836275e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19585064109907e-13,0.0,0.0,0.0,1.5500181765474328e-13
t25,3.4823971694135846e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2121990568849775e-13,0.0,0.0,0.0,1.560438773826336e-13
t26,3.546317775644484e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2512587045909543e-13,0.0,0.0,0.0,1.6058904821554027e-13
t27,3.549023837554182e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2534816030859885e-13,0.0,0.0,0.0,1.6083839868414067e-13
t28,3.491156140452993e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.266629975447372e-13,0.0,0.0,0.0,1.6157455894926714e-13
t29,3.554262568559416e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.311331639673577e-13,0.0,0.0,0.0,1.6667578965295186e-13
t30,3.5575405021374974e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3117844249839653e-13,0.0,0.0,0.0,1.667538475197715e-13
t31,3.499449117224773e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3361358723811123e-13,0.0,0.0,0.0,1.6860807841035896e-13
t32,3.5619916086213024e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.383676113739307e-13,0.0,0.0,0.0,1.7398752746014372e-13
t33,3.5637860250867254e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3734255095037212e-13,0.0,0.0,0.0,1.7298041120123937e-13
t34,3.5071081174823287e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.393143590079773e-13,0.0,0.0,0.0,1.743854401828006e-13
t35,3.572742388890703e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4586967665704176e-13,0.0,0.0,0.0,1.815971005459488e-13
t36,3.579543093919062e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4626169866067544e-13,0.0,0.0,0.0,1.8205712959986605e-13
t37,3.525115863150765e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49073368876679e-13,0.0,0.0,0.0,1.8432452750818666e-13
t38,3.5927571343938476e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5600362469874491e-13,0.0,0.0,0.0,1.919311960426834e-13
t39,3.603476466667574e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5754029170478838e-13,0.0,0.0,0.0,1.9357505637146412e-13
t40,3.551386079195294e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6129700269423147e-13,0.0,0.0,0.0,1.9681086348618442e-13
t41,3.621256549389154e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6862352126058843e-13,0.0,0.0,0.0,2.0483608675447997e-13
