Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2
Zone,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,7846.260786693441,0.0,0.0,0.0,0.0,0.0,21575.999999931853
t2,0.0,0.0,0.0,0.0,0.0,7846.260786693586,0.0,0.0,0.0,0.0,0.0,21575.999999932057
t3,0.0,0.0,0.0,0.0,0.0,7846.260786693736,0.0,0.0,0.0,0.0,0.0,21575.99999993219
t4,0.0,0.0,0.0,0.0,0.0,7846.260786693884,0.0,0.0,0.0,0.0,0.0,21575.999999932326
t5,0.0,0.0,0.0,0.0,0.0,7846.260786694033,0.0,0.0,0.0,0.0,0.0,21575.999999932454
t6,0.0,0.0,0.0,0.0,0.0,7846.260786694178,0.0,0.0,0.0,0.0,0.0,21575.999999932592
t7,0.0,0.0,0.0,0.0,0.0,7846.260786694306,0.0,0.0,0.0,0.0,0.0,21575.99999993016
t8,0.0,0.0,0.0,0.0,0.0,7846.2607866944545,0.0,0.0,0.0,0.0,0.0,21575.9999999303
t9,0.0,0.0,0.0,0.0,0.0,7846.260786694614,0.0,0.0,0.0,0.0,0.0,21575.99999993044
t10,0.0,0.0,0.0,0.0,0.0,7846.260786694771,0.0,0.0,0.0,0.0,0.0,21575.999999930573
t11,0.0,0.0,0.0,0.0,0.0,9651.16174450128,0.0,0.0,0.0,0.0,0.0,21575.999999932756
t12,0.0,0.0,0.0,0.0,0.0,10499.592974377107,0.0,0.0,0.0,0.0,0.0,21575.999999934957
t13,0.0,0.0,0.0,0.0,0.0,10499.592974377265,0.0,0.0,0.0,0.0,0.0,21575.999999935095
t14,0.0,0.0,0.0,0.0,0.0,10499.592974377425,0.0,0.0,0.0,0.0,0.0,21575.999999935233
t15,0.0,0.0,0.0,0.0,0.0,10499.592974377592,0.0,0.0,0.0,0.0,0.0,21575.999999935375
t16,0.0,0.0,0.0,0.0,0.0,10499.59297437776,0.0,0.0,0.0,0.0,0.0,21575.99999993552
t17,0.0,0.0,0.0,0.0,0.0,10499.592974380994,0.0,0.0,0.0,0.0,0.0,21575.99999993736
t18,0.0,0.0,0.0,0.0,0.0,10499.592974381165,0.0,0.0,0.0,0.0,0.0,21575.999999937503
t19,0.0,0.0,0.0,0.0,0.0,10499.59297438133,0.0,0.0,0.0,0.0,0.0,21575.99999993764
t20,0.0,0.0,0.0,0.0,0.0,10499.592974381498,0.0,0.0,0.0,0.0,0.0,21575.999999937776
t21,0.0,0.0,0.0,0.0,0.0,10499.592974381678,0.0,0.0,0.0,0.0,0.0,21575.99999993792
t22,0.0,0.0,0.0,0.0,0.0,10499.592974381105,0.0,0.0,0.0,0.0,0.0,21575.999999937212
t23,0.0,0.0,0.0,0.0,0.0,10499.592974381301,0.0,0.0,0.0,0.0,0.0,21575.999999937358
t24,0.0,0.0,0.0,0.0,0.0,10499.592974381512,0.0,0.0,0.0,0.0,0.0,21575.999999937503
t25,0.0,0.0,0.0,0.0,0.0,10499.592974381709,0.0,0.0,0.0,0.0,0.0,21575.99999993765
t26,0.0,0.0,0.0,0.0,0.0,10499.592974381909,0.0,0.0,0.0,0.0,0.0,21575.999999937798
t27,0.0,0.0,0.0,0.0,0.0,10499.59297438197,0.0,0.0,0.0,0.0,0.0,21575.99999993784
t28,0.0,0.0,0.0,0.0,0.0,10499.592974382182,0.0,0.0,0.0,0.0,0.0,21575.99999993799
t29,0.0,0.0,0.0,0.0,0.0,10499.592974382404,0.0,0.0,0.0,0.0,0.0,21575.99999993814
t30,0.0,0.0,0.0,0.0,0.0,10499.592974382642,0.0,0.0,0.0,0.0,0.0,21575.99999993829
t31,0.0,0.0,0.0,0.0,0.0,10499.592974382873,0.0,0.0,0.0,0.0,0.0,21575.999999938445
t32,0.0,0.0,0.0,0.0,0.0,10499.592974384412,0.0,0.0,0.0,0.0,0.0,21575.999999938736
t33,0.0,0.0,0.0,0.0,0.0,10499.592974384652,0.0,0.0,0.0,0.0,0.0,21575.99999993889
t34,0.0,0.0,0.0,0.0,0.0,10499.592974384894,0.0,0.0,0.0,0.0,0.0,21575.999999939046
