Resource,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2
Zone,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,-56.89539130434751,0.0,0.0,0.0,0.0,0.0,-57.60864606550694
t2,0.0,0.0,0.0,0.0,0.0,-56.89539130434751,0.0,0.0,0.0,0.0,0.0,-57.620236849475035
t3,0.0,0.0,0.0,0.0,0.0,-56.89539130434751,0.0,0.0,0.0,0.0,0.0,-57.63170618230246
t4,0.0,0.0,0.0,0.0,0.0,-56.89539130434751,0.0,0.0,0.0,0.0,0.0,-57.64320158268214
t5,0.0,0.0,0.0,0.0,0.0,-56.89539130434751,0.0,0.0,0.0,0.0,0.0,-57.654854312409185
t6,0.0,0.0,0.0,0.0,0.0,-56.89539130434752,0.0,0.0,0.0,0.0,0.0,-57.666847033142744
t7,0.0,0.0,0.0,0.0,0.0,-56.89539130434752,0.0,0.0,0.0,0.0,0.0,-57.678519456443034
t8,0.0,0.0,0.0,0.0,0.0,-56.89539130434752,0.0,0.0,0.0,0.0,0.0,-57.69004046854055
t9,0.0,0.0,0.0,0.0,0.0,-56.89539130434752,0.0,0.0,0.0,0.0,0.0,-57.70152853373874
t10,0.0,0.0,0.0,0.0,0.0,-56.89539130434752,0.0,0.0,0.0,0.0,0.0,-57.71308506486392
t11,0.0,0.0,0.0,0.0,0.0,-56.89539130434752,0.0,0.0,0.0,0.0,0.0,-57.72501387528129
t12,0.0,0.0,0.0,0.0,0.0,-56.89539130434753,0.0,0.0,0.0,0.0,0.0,-57.736654978720836
t13,0.0,0.0,0.0,0.0,0.0,-56.921688444006165,0.0,0.0,0.0,0.0,0.0,-57.74844943228601
t14,0.0,0.0,0.0,0.0,0.0,-56.942418624163935,0.0,0.0,0.0,0.0,0.0,-57.76029766024712
t15,0.0,0.0,0.0,0.0,0.0,-56.95610753196064,0.0,0.0,0.0,0.0,0.0,-57.77237888610817
t16,0.0,0.0,0.0,0.0,0.0,-56.970292087719464,0.0,0.0,0.0,0.0,0.0,-57.7845619294938
t17,0.0,0.0,0.0,0.0,0.0,-56.9859536431106,0.0,0.0,0.0,0.0,0.0,-57.796432556585906
t18,0.0,0.0,0.0,0.0,0.0,-57.00358923752424,0.0,0.0,0.0,0.0,0.0,-57.80823295507705
t19,0.0,0.0,0.0,0.0,0.0,-57.020280678146264,0.0,0.0,0.0,0.0,0.0,-57.82015339205244
t20,0.0,0.0,0.0,0.0,0.0,-57.03834189661273,0.0,0.0,0.0,0.0,0.0,-57.83233510958901
t21,0.0,0.0,0.0,0.0,0.0,-57.058470188579285,0.0,0.0,0.0,0.0,0.0,-57.84498083373163
t22,0.0,0.0,0.0,0.0,0.0,-57.080162485200816,0.0,0.0,0.0,0.0,0.0,-57.85736662164037
t23,0.0,0.0,0.0,0.0,0.0,-57.103402621462955,0.0,0.0,0.0,0.0,0.0,-57.869723941453486
t24,0.0,0.0,0.0,0.0,0.0,-57.12704995370202,0.0,0.0,0.0,0.0,0.0,-57.88220717869289
t25,0.0,0.0,0.0,0.0,0.0,-57.150782136301494,0.0,0.0,0.0,0.0,0.0,-57.89495084202574
t26,0.0,0.0,0.0,0.0,0.0,-57.17485078697771,0.0,0.0,0.0,0.0,0.0,-57.908169066058086
t27,0.0,0.0,0.0,0.0,0.0,-57.20118149797979,0.0,0.0,0.0,0.0,0.0,-57.921121518301156
t28,0.0,0.0,0.0,0.0,0.0,-57.23010358036476,0.0,0.0,0.0,0.0,0.0,-57.934016360843835
t29,0.0,0.0,0.0,0.0,0.0,-57.26221581323059,0.0,0.0,0.0,0.0,0.0,-57.9470291828452
t30,0.0,0.0,0.0,0.0,0.0,-57.29599623496018,0.0,0.0,0.0,0.0,0.0,-57.960324266962424
t31,0.0,0.0,0.0,0.0,0.0,-57.32971009100947,0.0,0.0,0.0,0.0,0.0,-57.97408460859744
t32,0.0,0.0,0.0,0.0,0.0,-57.36578860015551,0.0,0.0,0.0,0.0,0.0,-57.98758957157263
t33,0.0,0.0,0.0,0.0,0.0,-57.4035562342448,0.0,0.0,0.0,0.0,0.0,-58.00107793042692
t34,0.0,0.0,0.0,0.0,0.0,-57.44188313381608,0.0,0.0,0.0,0.0,0.0,-58.01465910870859
t35,0.0,0.0,0.0,0.0,0.0,-57.48191303624592,0.0,0.0,0.0,0.0,0.0,-58.02853727632027
t36,0.0,0.0,0.0,0.0,0.0,-57.52117886111103,0.0,0.0,0.0,0.0,0.0,-58.04289205379225
t37,0.0,0.0,0.0,0.0,0.0,-57.56060068775238,0.0,0.0,0.0,0.0,0.0,-58.05693567758277
t38,0.0,0.0,0.0,0.0,0.0,-57.600320482276764,0.0,0.0,0.0,0.0,0.0,-58.07086544074732
t39,0.0,0.0,0.0,0.0,0.0,-57.635730064604346,0.0,0.0,0.0,0.0,0.0,-58.08489745806043
t40,0.0,0.0,0.0,0.0,0.0,-57.67018875947128,0.0,0.0,0.0,0.0,0.0,-58.099275601069586
t41,0.0,0.0,0.0,0.0,0.0,-57.700241197114025,0.0,0.0,0.0,0.0,0.0,-58.11421979503247
t42,0.0,0.0,0.0,0.0,0.0,-57.73194187145836,0.0,0.0,0.0,0.0,0.0,-58.127756896318566
t43,0.0,0.0,0.0,0.0,0.0,-57.77091528066313,0.0,0.0,0.0,0.0,0.0,-58.14028145409376
t44,0.0,0.0,0.0,0.0,0.0,-57.80738985504648,0.0,0.0,0.0,0.0,0.0,-58.152457561395394
t45,0.0,0.0,0.0,0.0,0.0,-57.84103737212298,0.0,0.0,0.0,0.0,0.0,-58.16506014132512
t46,0.0,0.0,0.0,0.0,0.0,-57.87523608054849,0.0,0.0,0.0,0.0,0.0,-58.17822076359118
t47,0.0,0.0,0.0,0.0,0.0,-57.912374385964156,0.0,0.0,0.0,0.0,0.0,-58.19117703819536
t48,0.0,0.0,0.0,0.0,0.0,-57.950723386789434,0.0,0.0,0.0,0.0,0.0,-58.204066559051796
t49,0.0,0.0,0.0,0.0,0.0,-57.990075677353914,0.0,0.0,0.0,0.0,0.0,-58.21710797958695
t50,0.0,0.0,0.0,0.0,0.0,-58.030995182083046,0.0,0.0,0.0,0.0,0.0,-58.230506587219864
t51,0.0,0.0,0.0,0.0,0.0,-58.072945001702976,0.0,0.0,0.0,0.0,0.0,-58.244438816192435
t52,0.0,0.0,0.0,0.0,0.0,-58.11826236752207,0.0,0.0,0.0,0.0,0.0,-58.25815659902555
t53,0.0,0.0,0.0,0.0,0.0,-58.169633808838284,0.0,0.0,0.0,0.0,0.0,-58.27186148612084
t54,0.0,0.0,0.0,0.0,0.0,-58.22691232863078,0.0,0.0,0.0,0.0,0.0,-58.28574687082222
t55,0.0,0.0,0.0,0.0,0.0,-58.286772292990776,0.0,0.0,0.0,0.0,0.0,-58.30001314797197
t56,0.0,0.0,0.0,0.0,0.0,-58.351722808656454,0.0,0.0,0.0,0.0,0.0,-58.31491524027707
t57,0.0,0.0,0.0,0.0,0.0,-58.42241805098633,0.0,0.0,0.0,0.0,0.0,-58.328378091791336
t58,0.0,0.0,0.0,0.0,0.0,-58.49639913284039,0.0,0.0,0.0,0.0,0.0,-58.341860132333814
t59,0.0,0.0,0.0,0.0,0.0,-58.57282096519302,0.0,0.0,0.0,0.0,0.0,-58.355470740099754
t60,0.0,0.0,0.0,0.0,0.0,-58.653243389919446,0.0,0.0,0.0,0.0,0.0,-58.36940891242515
t61,0.0,0.0,0.0,0.0,0.0,-58.74348587915724,0.0,0.0,0.0,0.0,0.0,-58.38388459898481
t62,0.0,0.0,0.0,0.0,0.0,-58.84830107900233,0.0,0.0,0.0,0.0,0.0,-58.39813821886315
t63,0.0,0.0,0.0,0.0,0.0,-58.95801928951514,0.0,0.0,0.0,0.0,0.0,-58.412414631399415
t64,0.0,0.0,0.0,0.0,0.0,-59.155866657045536,0.0,0.0,0.0,0.0,0.0,-58.42697683820389
t65,0.0,0.0,0.0,0.0,0.0,-59.7410434782619,0.0,0.0,0.0,0.0,0.0,-58.44232514177722
t66,0.0,0.0,0.0,0.0,0.0,-59.741043478261915,0.0,0.0,0.0,0.0,0.0,-58.442325141777225
t67,0.0,0.0,0.0,0.0,0.0,-59.7410434782619,0.0,0.0,0.0,0.0,0.0,-58.442325141777225
t68,0.0,0.0,0.0,0.0,0.0,-59.74104347826164,0.0,0.0,0.0,0.0,0.0,-58.442325141777225
t69,0.0,0.0,0.0,0.0,0.0,-59.741043478261105,0.0,0.0,0.0,0.0,0.0,-58.442325141777225
t70,0.0,0.0,0.0,0.0,0.0,-59.741043478260856,0.0,0.0,0.0,0.0,0.0,-58.442325141777225
t71,0.0,0.0,0.0,0.0,0.0,-59.74104347826085,0.0,0.0,0.0,0.0,0.0,-58.442325141777225
